Year,Quarter,Bull Price,Q1,Q2,Q3,US Bull Price ($CDN/100 lbs.),Trend,Bull Price (t-1)
2012,4,71.5,0,0,0,85.16,53,80.28
2012,3,80.28,0,0,1,91.79,52,91.51
2012,2,91.51,0,1,0,100.19,51,82.71
2012,1,82.71,1,0,0,90.58,50,78.39
2011,4,78.39,0,0,0,76.93,49,84.51
2011,3,84.51,0,0,1,76.24,48,89.75
2011,2,89.75,0,1,0,84.72,47,75.62
2011,1,75.62,1,0,0,79.26,46,60.97
2010,4,60.97,0,0,0,64.04,45,71.39
2010,3,71.39,0,0,1,74.18,44,69.81
2010,2,69.81,0,1,0,74.02,43,63.63
2010,1,63.63,1,0,0,63.62,42,55.19
2009,4,55.19,0,0,0,56.66,41,63.88
2009,3,63.88,0,0,1,62.57,40,70.91
2009,2,70.91,0,1,0,68.72,39,69.55
2009,1,69.55,1,0,0,70.2,38,70.25
2008,4,70.25,0,0,0,67.07,37,78.92
2008,3,78.92,0,0,1,73.55,36,62.73
2008,2,62.73,0,1,0,66.93,35,53.1
2008,1,53.1,1,0,0,61.01,34,37.53
2003,2,62.63,0,1,0,73.86,33,74.75
2003,1,74.75,1,0,0,74.87,32,68.93
2002,4,68.93,0,0,0,71.1,31,79.19
2002,3,79.19,0,0,1,78.49,30,86.3
2002,2,86.3,0,1,0,84.91,29,88.15
2002,1,88.15,1,0,0,88.47,28,76.39
2001,4,76.39,0,0,0,83.74,27,88.18
2001,3,88.18,0,0,1,90.54,26,90.12
2001,2,90.12,0,1,0,93.22,25,81.63
2001,1,81.63,1,0,0,87.35,24,70.73
2000,4,70.73,0,0,0,78.74,23,79.11
2000,3,79.11,0,0,1,82.33,22,80
2000,2,80,0,1,0,84.91,21,70.02
2000,1,70.02,1,0,0,76.11,20,64.98
1999,4,64.98,0,0,0,70.67,19,70.07
1999,3,70.07,0,0,1,76.13,18,73.26
1999,2,73.26,0,1,0,74.35,17,68.98
1999,1,68.98,1,0,0,73.77,16,62.11
1998,4,62.11,0,0,0,66.62,15,70.64
1998,3,70.64,0,0,1,74.86,14,70.96
1998,2,70.96,0,1,0,75.4,13,64.73
1998,1,64.73,1,0,0,68.86,12,54.64
1997,4,54.64,0,0,0,63.06,11,62.17
1997,3,62.17,0,0,1,68.29,10,64.5
1997,2,64.5,0,1,0,71.14,9,54.2
1997,1,54.2,1,0,0,59.67,8,50.82
1996,4,50.82,0,0,0,52.84,7,56.61
1996,3,56.61,0,0,1,57.86,6,52.21
1996,2,52.21,0,1,0,57.35,5,57.1
1996,1,57.1,1,0,0,62.43,4,57.67
1995,4,57.67,0,0,0,60.48,3,62.57
1995,3,62.57,0,0,1,65.66,2,68.96
1995,2,68.96,0,1,0,70.4,1,75.13
