Year,Quarter,Inventory Bulls,Q1,Q2,Q3,Bull/Calf Price Ratio ($/100 lbs.),Trend,Inventory Bulls (t-1)
2012,4,17200,0,0,0,0.445645508,71,17200
2012,3,17200,0,0,1,0.482945513,70,16000
2012,2,16000,0,1,0,0.519387182,69,16000
2012,1,16000,1,0,0,0.458180767,68,17400
2011,4,17400,0,0,0,0.480092807,67,17400
2011,3,17400,0,0,1,0.547151015,66,16200
2011,2,16200,0,1,0,0.58325285,65,16200
2011,1,16200,1,0,0,0.490455267,64,17900
2010,4,17900,0,0,0,0.442837592,63,17900
2010,3,17900,0,0,1,0.554489334,62,17900
2010,2,17900,0,1,0,0.555571904,61,17900
2010,1,17900,1,0,0,0.535458644,60,17200
2009,4,17200,0,0,0,0.495635453,59,17200
2009,3,17200,0,0,1,0.539794508,58,18500
2009,2,18500,0,1,0,0.560079276,57,18500
2009,1,18500,1,0,0,0.589152379,56,18200
2008,4,18200,0,0,0,0.639040296,55,18200
2008,3,18200,0,0,1,0.684657335,54,17900
2008,2,17900,0,1,0,0.55873167,53,17900
2008,1,17900,1,0,0,0.502192899,52,20100
2007,4,20100,0,0,0,0.346087712,51,20100
2007,3,20100,0,0,1,0.341406582,50,16700
2007,2,16700,0,1,0,0.36906186,49,16700
2007,1,16700,1,0,0,0.300651876,48,21100
2006,4,21100,0,0,0,0.269039937,47,21100
2006,3,21100,0,0,1,0.326492573,46,21900
2006,2,21900,0,1,0,0.285100628,45,21900
2006,1,21900,1,0,0,0.217403082,44,22800
2005,4,22800,0,0,0,0.211550771,43,22800
2005,3,22800,0,0,1,0.30220385,42,21100
2005,2,21100,0,1,0,0.254173006,41,21100
2005,1,21100,1,0,0,0.210680725,40,22000
2004,4,22000,0,0,0,0.146828718,39,22000
2004,3,22000,0,0,1,0.226197451,38,22000
2004,2,22000,0,1,0,0.224519807,37,22000
2004,1,22000,1,0,0,0.191157114,36,22000
2003,4,22000,0,0,0,0.112291497,35,22000
2003,3,22000,0,0,1,0.203935491,34,21100
2003,2,21100,0,1,0,0.435082998,33,21100
2003,1,21100,1,0,0,0.513097143,32,21100
2002,4,21100,0,0,0,0.511332803,31,21100
2002,3,21100,0,0,1,0.602628295,30,19700
2002,2,19700,0,1,0,0.596454088,29,19700
2002,1,19700,1,0,0,0.577557212,28,21000
2001,4,21000,0,0,0,0.507468151,27,21000
2001,3,21000,0,0,1,0.515695996,26,20000
2001,2,20000,0,1,0,0.533836386,25,20000
2001,1,20000,1,0,0,0.484910645,24,21600
2000,4,21600,0,0,0,0.43345795,23,21600
2000,3,21600,0,0,1,0.47850136,22,20600
2000,2,20600,0,1,0,0.49721685,21,20600
2000,1,20600,1,0,0,0.443122194,20,21879
1999,4,21879,0,0,0,0.441857984,19,21879
1999,3,21879,0,0,1,0.497773792,18,21037.5
1999,2,21037.5,0,1,0,0.545236311,17,21037.5
1999,1,21037.5,1,0,0,0.522938991,16,22720.5
1998,4,22720.5,0,0,0,0.487414763,15,22720.5
1998,3,22720.5,0,0,1,0.575367153,14,21879
1998,2,21879,0,1,0,0.542138522,13,21879
1998,1,21879,1,0,0,0.491424734,12,23562
1997,4,23562,0,0,0,0.437903182,11,23562
1997,3,23562,0,0,1,0.497957929,10,22720.5
1997,2,22720.5,0,1,0,0.550704786,9,22720.5
1997,1,22720.5,1,0,0,0.522939153,8,24403.5
1996,4,24403.5,0,0,0,0.553601631,7,24403.5
1996,3,24403.5,0,0,1,0.618256951,6,25245
1996,2,25245,0,1,0,0.614945447,5,25245
1996,1,25245,1,0,0,0.691868399,4,26928
1995,4,26928,0,0,0,0.589118239,3,26928
1995,3,26928,0,0,1,0.573969442,2,27769.5
1995,2,27769.5,0,1,0,0.580479702,1,27769.5
