Year,Quarter,Culled Bull Carcass Weight (lbs.),Q1,Q2,Q3,Bull/Corn Price Ratio,D2009,Trend,Culled Bull Carcass Weight (t-1)
2012,4,850,0,0,0,16.60088676,0,51,850
2012,3,850,0,0,1,18.97260482,0,50,850
2012,2,850,0,1,0,24.4372033,0,49,850
2012,1,850,1,0,0,20.02294983,0,48,852
2011,4,852,0,0,0,17.99141391,0,47,852
2011,3,852,0,0,1,17.14839149,0,46,852
2011,2,852,0,1,0,19.59352801,0,45,852
2011,1,852,1,0,0,18.18430025,0,44,748
2010,4,748,0,0,0,15.64590389,0,43,748
2010,3,748,0,0,1,22.89209525,0,42,748
2010,2,748,0,1,0,19.57614158,0,41,748
2010,1,748,1,0,0,18.56559459,0,40,666
2009,4,666,0,0,0,16.65210582,1,39,666
2009,3,666,0,0,1,19.0730851,1,38,666
2009,2,666,0,1,0,19.97623292,1,37,666
2009,1,666,1,0,0,20.1146352,1,36,884
2008,4,884,0,0,0,22.33063848,0,35,884
2008,3,884,0,0,1,17.59816628,0,34,884
2008,2,884,0,1,0,17.25716953,0,33,884
2008,1,884,1,0,0,16.44003747,0,32,975
2007,4,975,0,0,0,11.71790028,0,31,975
2007,3,975,0,0,1,14.93668897,0,30,975
2007,2,975,0,1,0,13.74112999,0,29,975
2007,1,975,1,0,0,10.10375596,0,28,998
2006,4,998,0,0,0,9.732031735,0,27,998
2006,3,998,0,0,1,14.50370957,0,26,998
2006,2,998,0,1,0,12.91402891,0,25,998
2006,1,998,1,0,0,9.914276978,0,24,858
2005,4,858,0,0,0,8.969715189,0,23,858
2005,3,858,0,0,1,14.7393102,0,22,858
2005,2,858,0,1,0,9.757419394,0,21,858
2005,1,858,1,0,0,8.841015125,0,20,1039
2004,4,1039,0,0,0,6.520938938,0,19,1039
2004,3,1039,0,0,1,6.857448707,0,18,1039
2004,2,1039,0,1,0,8.211584065,0,17,1039
2004,1,1039,1,0,0,6.487204954,0,16,1049
2003,4,1049,0,0,0,4.970489315,0,15,1049
2003,3,1049,0,0,1,8.860733543,0,14,1049
2003,2,1049,0,1,0,20.44404779,0,13,1049
2003,1,1049,1,0,0,23.49363,0,12,1169
2002,4,1169,0,0,0,21.87581111,0,11,1169
2002,3,1169,0,0,1,26.48078431,0,10,1169
2002,2,1169,0,1,0,27.12870279,0,9,1169
2002,1,1169,1,0,0,26.19030394,0,8,1088
2001,4,1088,0,0,0,21.81487798,0,7,1088
2001,3,1088,0,0,1,27.19669661,0,6,1088
2001,2,1088,0,1,0,24.7817538,0,5,1088
2001,1,1088,1,0,0,23.18053197,0,4,1030
2000,4,1030,0,0,0,21.84963847,0,3,1030
2000,3,1030,0,0,1,23.09526508,0,2,1030
2000,2,1030,0,1,0,24.55549927,0,1,1030
