Year,Quarter,Culled Cow Carcass Weight (lbs.),Q1,Q2,Q3,Cow/Corn Price Ratio,D2000,D2001,D2007,D2012,Trend,Culled Cow Carcass Weight (t-1)
2012,4,652,0,0,0,14.51987494,0,0,0,1,51,652
2012,3,652,0,0,1,16.02623011,0,0,0,1,50,652
2012,2,652,0,1,0,21.28619799,0,0,0,1,49,652
2012,1,652,1,0,0,17.85959332,0,0,0,1,48,688
2011,4,688,0,0,0,15.53036488,0,0,0,0,47,688
2011,3,688,0,0,1,14.44014666,0,0,0,0,46,688
2011,2,688,0,1,0,16.4046787,0,0,0,0,45,688
2011,1,688,1,0,0,15.64270575,0,0,0,0,44,731
2010,4,731,0,0,0,13.03836671,0,0,0,0,43,731
2010,3,731,0,0,1,18.36635767,0,0,0,0,42,731
2010,2,731,0,1,0,15.83512173,0,0,0,0,41,731
2010,1,731,1,0,0,14.71152972,0,0,0,0,40,712
2009,4,712,0,0,0,12.40078283,0,0,0,0,39,712
2009,3,712,0,0,1,15.03049661,0,0,0,0,38,712
2009,2,712,0,1,0,15.95092894,0,0,0,0,37,712
2009,1,712,1,0,0,15.85698203,0,0,0,0,36,719
2008,4,719,0,0,0,16.7236405,0,0,0,0,35,719
2008,3,719,0,0,1,13.7383806,0,0,0,0,34,719
2008,2,719,0,1,0,14.68714385,0,0,0,0,33,719
2008,1,719,1,0,0,14.2769592,0,0,0,0,32,658
2007,4,658,0,0,0,11.311172,0,0,1,0,31,658
2007,3,658,0,0,1,15.15961983,0,0,1,0,30,658
2007,2,658,0,1,0,14.25289738,0,0,1,0,29,658
2007,1,658,1,0,0,11.17709501,0,0,1,0,28,704
2006,4,704,0,0,0,10.57115178,0,0,0,0,27,704
2006,3,704,0,0,1,14.51217427,0,0,0,0,26,704
2006,2,704,0,1,0,13.10723686,0,0,0,0,25,704
2006,1,704,1,0,0,10.87510641,0,0,0,0,24,695
2005,4,695,0,0,0,9.566281061,0,0,0,0,23,695
2005,3,695,0,0,1,15.69810171,0,0,0,0,22,695
2005,2,695,0,1,0,9.987621683,0,0,0,0,21,695
2005,1,695,1,0,0,9.332703968,0,0,0,0,20,684
2004,4,684,0,0,0,8.197319943,0,0,0,0,19,684
2004,3,684,0,0,1,7.490364622,0,0,0,0,18,684
2004,2,684,0,1,0,8.66581574,0,0,0,0,17,684
2004,1,684,1,0,0,6.890466571,0,0,0,0,16,694
2003,4,694,0,0,0,5.042665889,0,0,0,0,15,694
2003,3,694,0,0,1,7.816979528,0,0,0,0,14,694
2003,2,694,0,1,0,18.35218288,0,0,0,0,13,694
2003,1,694,1,0,0,19.77529515,0,0,0,0,12,706
2002,4,706,0,0,0,18.26320651,0,0,0,0,11,706
2002,3,706,0,0,1,20.92607503,0,0,0,0,10,706
2002,2,706,0,1,0,21.24360839,0,0,0,0,9,706
2002,1,706,1,0,0,20.20272954,0,0,0,0,8,747
2001,4,747,0,0,0,17.65924985,0,1,0,0,7,747
2001,3,747,0,0,1,22.78921006,0,1,0,0,6,747
2001,2,747,0,1,0,21.4909775,0,1,0,0,5,747
2001,1,747,1,0,0,19.65831089,0,1,0,0,4,622
2000,4,622,0,0,0,19.10454446,1,0,0,0,3,622
2000,3,622,0,0,1,19.64186735,1,0,0,0,2,622
2000,2,622,0,1,0,20.46913685,1,0,0,0,1,622
