Year,Quarter,Inventory,Q1,Q2,Q3,Cow/Calf Price Ratio,Trend,Inventory Beef Cows (t-1)
2012,4,222900,0,0,0,0.389742311,51,222900
2012,3,222900,0,0,1,0.407953315,50,243100
2012,2,243100,0,1,0,0.452402573,49,243100
2012,1,243100,1,0,0,0.408678392,48,222800
2011,4,222800,0,0,0,0.414847965,47,222800
2011,3,222800,0,0,1,0.460373941,46,247200
2011,2,247200,0,1,0,0.488334308,45,247200
2011,1,247200,1,0,0,0.422018944,44,234900
2010,4,234900,0,0,0,0.369030759,43,234900
2010,3,234900,0,0,1,0.444755028,42,257300
2010,2,257300,0,1,0,0.449387235,41,257300
2010,1,257300,1,0,0,0.424160848,40,244100
2009,4,244100,0,0,0,0.369222477,39,244100
2009,3,244100,0,0,1,0.425528318,38,271800
2009,2,271800,0,1,0,0.447217724,37,271800
2009,1,271800,1,0,0,0.46446421,36,261800
2008,4,261800,0,0,0,0.478577276,35,261800
2008,3,261800,0,0,1,0.534669791,34,315100
2008,2,315100,0,1,0,0.47567712,33,315100
2008,1,315100,1,0,0,0.436255263,32,275700
2007,4,275700,0,0,0,0.334086403,31,275700
2007,3,275700,0,0,1,0.346408394,30,311700
2007,2,311700,0,1,0,0.382907287,29,311700
2007,1,311700,1,0,0,0.332499077,28,280400
2006,4,280400,0,0,0,0.292319465,27,280400
2006,3,280400,0,0,1,0.326789468,26,322100
2006,2,322100,0,1,0,0.289368159,25,322100
2006,1,322100,1,0,0,0.238474653,24,281600
2005,4,281600,0,0,0,0.225626937,23,281600
2005,3,281600,0,0,1,0.321862197,22,337000
2005,2,337000,0,1,0,0.260180061,21,337000
2005,1,337000,1,0,0,0.222390318,20,293100
2004,4,293100,0,0,0,0.184637707,19,293100
2004,3,293100,0,0,1,0.247147534,18,356900
2004,2,356900,0,1,0,0.237020714,17,356900
2004,1,356900,1,0,0,0.203041751,16,302300
2003,4,302300,0,0,0,0.113919005,15,302300
2003,3,302300,0,0,1,0.179977689,14,333200
2003,2,333200,0,1,0,0.390674403,13,333200
2003,1,333200,1,0,0,0.43175736,12,280500
2002,4,280500,0,0,0,0.426754662,11,280500
2002,3,280500,0,0,1,0.476056445,10,298900
2002,2,298900,0,1,0,0.466906177,9,298900
2002,1,298900,1,0,0,0.445507256,8,283100
2001,4,283100,0,0,0,0.410678709,7,283100
2001,3,283100,0,0,1,0.432130534,6,313100
2001,2,313100,0,1,0,0.46309739,5,313100
2001,1,313100,1,0,0,0.411361003,4,291000
2000,4,291000,0,0,0,0.379119026,3,291000
2000,3,291000,0,0,1,0.406955996,2,318800
2000,2,318800,0,1,0,0.414352283,1,318800
