Year,Quarter,pcbeefdisappear,Q1,Q2,Q3,Retail Beef Price ($/lbs.),Retail Pork Price ($/lbs.),Retail Chicken Price ($/lbs.),Income,D1999,D2003,D2011,pcbeefdisappear (t-1)
2012,4,15.0535,0,0,0,12,7.94,6.09,23800.22,0,0,0,15.0535
2012,3,15.0535,0,0,1,12.19,7.99,6.08,23813.32,0,0,0,15.0535
2012,2,15.0535,0,1,0,12.01,7.87,6.04,23735.33,0,0,0,15.0535
2012,1,15.0535,1,0,0,11.96,7.67,6.02,23891.83,0,0,0,14.894
2011,4,14.894,0,0,0,11.49,7.75,5.86,23812.21,0,0,1,14.894
2011,3,14.894,0,0,1,11.52,7.83,6,23818.91,0,0,1,14.894
2011,2,14.894,0,1,0,11.49,7.72,5.88,23898.09,0,0,1,14.894
2011,1,14.894,1,0,0,11.16,7.57,5.91,24288.25,0,0,1,15.2955
2010,4,15.2955,0,0,0,11.23,7.63,5.96,23639.27,0,0,0,15.2955
2010,3,15.2955,0,0,1,11.34,7.55,5.95,23814.39,0,0,0,15.2955
2010,2,15.2955,0,1,0,11.31,7.5,5.92,24033.3,0,0,0,15.2955
2010,1,15.2955,1,0,0,11.52,7.4,6.03,24242.35,0,0,0,15.5045
2009,4,15.5045,0,0,0,11.46,7.72,6.13,24864.29,0,0,0,15.5045
2009,3,15.5045,0,0,1,11.83,7.77,6.06,24966.38,0,0,0,15.5045
2009,2,15.5045,0,1,0,11.7,7.83,6,24951.68,0,0,0,15.5045
2009,1,15.5045,1,0,0,11.48,7.86,6.13,25113.44,0,0,0,16.3845
2008,4,16.3845,0,0,0,11.33,7.82,6,25294.65,0,0,0,16.3845
2008,3,16.3845,0,0,1,10.81,7.74,5.77,24927.99,0,0,0,16.3845
2008,2,16.3845,0,1,0,10.79,7.84,5.65,25272.35,0,0,0,16.3845
2008,1,16.3845,1,0,0,10.78,8.09,5.78,25749.04,0,0,0,16.83
2007,4,16.83,0,0,0,10.72,7.89,5.61,25591.37,0,0,0,16.83
2007,3,16.83,0,0,1,10.76,8.24,5.67,25606.82,0,0,0,16.83
2007,2,16.83,0,1,0,10.83,7.97,5.58,25545.37,0,0,0,16.83
2007,1,16.83,1,0,0,10.6,8.09,5.54,25910.27,0,0,0,16.423
2006,4,16.423,0,0,0,10.7,8.24,5.48,25033.67,0,0,0,16.423
2006,3,16.423,0,0,1,10.56,8.4,5.37,24972.28,0,0,0,16.423
2006,2,16.423,0,1,0,10.44,8.3,5.3,24873.34,0,0,0,16.423
2006,1,16.423,1,0,0,10.58,8.28,5.26,25103.02,0,0,0,16.665
2005,4,16.665,0,0,0,10.53,8.42,5.34,25554.77,0,0,0,16.665
2005,3,16.665,0,0,1,10.52,8.6,5.36,25570.69,0,0,0,16.665
2005,2,16.665,0,1,0,10.86,8.83,5.35,25786.51,0,0,0,16.665
2005,1,16.665,1,0,0,11.04,8.88,5.41,25997.64,0,0,0,16.951
2004,4,16.951,0,0,0,10.77,8.89,5.42,24715.88,0,0,0,16.951
2004,3,16.951,0,0,1,11.05,9.14,5.63,24818,0,0,0,16.951
2004,2,16.951,0,1,0,10.79,8.8,5.4,24857.61,0,0,0,16.951
2004,1,16.951,1,0,0,10.65,8.44,5.3,25089.24,0,0,0,17.82
2003,4,17.82,0,0,0,10.36,8.39,5.34,24237.97,0,1,0,17.82
2003,3,17.82,0,0,1,10.24,8.23,5.26,24292.85,0,1,0,17.82
2003,2,17.82,0,1,0,11.29,8.36,5.09,24483.2,0,1,0,17.82
2003,1,17.82,1,0,0,11.29,8.62,5.03,24395.51,0,1,0,16.819
2002,4,16.819,0,0,0,10.93,8.54,4.96,24754.63,0,0,0,16.819
2002,3,16.819,0,0,1,11.02,8.54,4.88,24771.07,0,0,0,16.819
2002,2,16.819,0,1,0,11.19,8.83,4.89,25094.38,0,0,0,16.819
2002,1,16.819,1,0,0,10.87,9.04,4.92,25366.05,0,0,0,16.9125
2001,4,16.9125,0,0,0,10.75,9.27,4.99,23825.96,0,0,0,16.9125
2001,3,16.9125,0,0,1,10.55,9.38,4.99,23672.85,0,0,0,16.9125
2001,2,16.9125,0,1,0,10.9,9.17,4.84,23688.88,0,0,0,16.9125
2001,1,16.9125,1,0,0,10.41,8.68,4.99,24030.43,0,0,0,17.611
2000,4,17.611,0,0,0,9.61,8.7,4.92,23702.82,0,0,0,17.611
2000,3,17.611,0,0,1,9.85,8.93,4.71,23909.64,0,0,0,17.611
2000,2,17.611,0,1,0,9.57,8.48,4.64,24111.62,0,0,0,17.611
2000,1,17.611,1,0,0,9.25,7.83,4.71,24308.42,0,0,0,17.93
1999,4,17.93,0,0,0,9.17,8.03,4.9,23315.68,1,0,0,17.93
1999,3,17.93,0,0,1,9.15,8.15,4.94,23407.72,1,0,0,17.93
1999,2,17.93,0,1,0,9.22,8.14,4.89,23559.94,1,0,0,17.93
1999,1,17.93,1,0,0,9.06,8.24,4.77,23826.81,1,0,0,17.567
1998,4,17.567,0,0,0,9.09,8.75,4.98,22876.19,0,0,0,17.567
1998,3,17.567,0,0,1,9.13,9.33,4.94,22935.03,0,0,0,17.567
1998,2,17.567,0,1,0,9.2,8.94,4.92,22985.72,0,0,0,17.567
1998,1,17.567,1,0,0,9.19,9.36,4.99,23002.67,0,0,0,17.303
1997,4,17.303,0,0,0,9.07,9.97,5.02,22277.87,0,0,0,17.303
1997,3,17.303,0,0,1,9.14,10.71,4.99,22269.63,0,0,0,17.303
1997,2,17.303,0,1,0,9.12,10.65,4.96,22327.51,0,0,0,17.303
1997,1,17.303,1,0,0,9,10.36,5.01,22394.04,0,0,0,17.2975
