Year,Quarter,Quantity Demand-Bulls,Q1,Q2,Q3,Ont. Bull Price ($/100 lbs.),AAA Boxed Beef Price ($/lbs.),D2006Q1,D2009,Trend,Slaughter Bulls (t-1)
2012,4,3174,0,0,0,58.13,1.37,0,0,56,3331
2012,3,3331,0,0,1,67.41,1.41,0,0,55,3922
2012,2,3922,0,1,0,75.64,1.47,0,0,54,2851
2012,1,2851,1,0,0,66.49,1.44,0,0,53,3186
2011,4,3186,0,0,0,62.07,1.48,0,0,52,2983
2011,3,2983,0,0,1,69.36,1.4,0,0,51,3794
2011,2,3794,0,1,0,74.35,1.41,0,0,50,2841
2011,1,2841,1,0,0,65.11,1.44,0,0,49,3009
2010,4,3009,0,0,0,55.88,1.32,0,0,48,3118
2010,3,3118,0,0,1,64.75,1.32,0,0,47,4450
2010,2,4450,0,1,0,63.59,1.46,0,0,46,3202
2010,1,3202,1,0,0,59.14,1.29,0,0,45,3888
2009,4,3888,0,0,0,53.91,1.24,0,1,44,4668
2009,3,4668,0,0,1,62,1.32,0,1,43,5314
2009,2,5314,0,1,0,65.15,1.52,0,1,42,3902
2009,1,3902,1,0,0,63.25,1.51,0,1,41,3285
2008,4,3285,0,0,0,63.39,1.55,0,0,40,1956
2008,3,1956,0,0,1,70.73,1.6,0,0,39,2449
2008,2,2449,0,1,0,60.33,1.52,0,0,38,1754
2008,1,1754,1,0,0,53.76,1.44,0,0,37,2357
2007,4,2357,0,0,0,38.6,1.4,0,0,36,2778
2007,3,2778,0,0,1,40.56,1.53,0,0,35,3583
2007,2,3583,0,1,0,44.8,1.74,0,0,34,2778
2007,1,2778,1,0,0,35.03,1.71,0,0,33,3941
2006,4,3941,0,0,0,33.28,1.57,0,0,32,3059
2006,3,3059,0,0,1,44.32,1.68,0,0,31,2685
2006,2,2685,0,1,0,38.94,1.69,0,0,30,1930
2006,1,1930,1,0,0,31.21,1.71,1,0,29,3004
2005,4,3004,0,0,0,29.61,1.72,0,0,28,2571
2005,3,2571,0,0,1,40.57,1.64,0,0,27,3137
2005,2,3137,0,1,0,30.74,1.73,0,0,26,2416
2005,1,2416,1,0,0,25.99,1.65,0,0,25,2870
2004,4,2870,0,0,0,16.87,1.63,0,0,24,2972
2004,3,2972,0,0,1,23.09,1.7,0,0,23,3155
2004,2,3155,0,1,0,25.87,1.85,0,0,22,2112
2004,1,2112,1,0,0,20.82,1.73,0,0,21,2424
2003,4,2424,0,0,0,15.24,1.97,0,0,20,1882
2003,3,1882,0,0,1,27.57,1.72,0,0,19,2317
2003,2,2317,0,1,0,61.86,1.89,0,0,18,1782
2003,1,1782,1,0,0,73.36,1.97,0,0,17,2171
2002,4,2171,0,0,0,70.89,1.95,0,0,16,2002
2002,3,2002,0,0,1,82.16,1.83,0,0,15,2505
2002,2,2505,0,1,0,88.92,1.89,0,0,14,1495
2002,1,1495,1,0,0,85.55,2.05,0,0,13,1921
2001,4,1921,0,0,0,75.6,2,0,0,12,2035
2001,3,2035,0,0,1,83.35,2.09,0,0,11,2036
2001,2,2036,0,1,0,82.66,2.18,0,0,10,1761
2001,1,1761,1,0,0,79.59,2.3,0,0,9,2707
2000,4,2707,0,0,0,72.59,2.3,0,0,8,2400
2000,3,2400,0,0,1,78.66,2.07,0,0,7,3214
2000,2,3214,0,1,0,79.1,2.38,0,0,6,2368
2000,1,2368,1,0,0,72.49,2.27,0,0,5,3462
1999,4,3462,0,0,0,69.25,2.39,0,0,4,3620
1999,3,3620,0,0,1,77.75,2.33,0,0,3,3663
1999,2,3663,0,1,0,81.11,2.26,0,0,2,2314
1999,1,2314,1,0,0,79.12,2.18,0,0,1,3500
