Year,Quarter,# Slaughtered Cows,Q1,Q2,Q3,Ont. Cow Price ($/100 lbs.),Avg. Fed Cattle Price ($/100 lbs.),D1999,D2011,D2012,Slaughter Cows (t-1)
2012,4,29077,0,0,0,50.84,91.11,0,0,1,21057
2012,3,21057,0,0,1,56.94,91.33,0,0,1,22821
2012,2,22821,0,1,0,65.89,94.32,0,0,1,23934
2012,1,23934,1,0,0,59.3,96,0,0,1,21282
2011,4,21282,0,0,0,53.58,88.72,0,1,0,14923
2011,3,14923,0,0,1,58.4,86.61,0,1,0,11624
2011,2,11624,0,1,0,62.25,88.47,0,1,0,13378
2011,1,13378,1,0,0,56.01,87.89,0,1,0,8817
2010,4,8817,0,0,0,46.56,84.76,0,0,0,6121
2010,3,6121,0,0,1,51.95,83.14,0,0,0,6827
2010,2,6827,0,1,0,51.44,83.66,0,0,0,6987
2010,1,6987,1,0,0,46.86,79.02,0,0,0,6990
2009,4,6990,0,0,0,40.15,77.28,0,0,0,5310
2009,3,5310,0,0,1,48.86,83.71,0,0,0,6578
2009,2,6578,0,1,0,52.03,89.5,0,0,0,8697
2009,1,8697,1,0,0,49.86,89.29,0,0,0,8956
2008,4,8956,0,0,0,47.47,85.36,0,0,0,8391
2008,3,8391,0,0,1,55.21,85.52,0,0,0,9718
2008,2,9718,0,1,0,51.34,84.07,0,0,0,16179
2008,1,16179,1,0,0,46.69,82.39,0,0,0,18746
2007,4,18746,0,0,0,37.26,77.8,0,0,0,17243
2007,3,17243,0,0,1,41.16,85.62,0,0,0,20479
2007,2,20479,0,1,0,46.47,95.94,0,0,0,27013
2007,1,27013,1,0,0,38.75,91.51,0,0,0,26186
2006,4,26186,0,0,0,36.15,87.71,0,0,0,24385
2006,3,24385,0,0,1,44.34,88.66,0,0,0,30034
2006,2,30034,0,1,0,39.52,91.67,0,0,0,32388
2006,1,32388,1,0,0,34.24,95.98,0,0,0,33426
2005,4,33426,0,0,0,31.58,93.38,0,0,0,24617
2005,3,24617,0,0,1,43.21,90.42,0,0,0,26275
2005,2,26275,0,1,0,31.47,84.92,0,0,0,22923
2005,1,22923,1,0,0,27.43,85.63,0,0,0,17497
2004,4,17497,0,0,0,21.21,77.14,0,0,0,12102
2004,3,12102,0,0,1,25.22,72.4,0,0,0,9182
2004,2,9182,0,1,0,27.3,79.23,0,0,0,7338
2004,1,7338,1,0,0,22.12,83.36,0,0,0,4545
2003,4,4545,0,0,0,15.46,85.43,0,0,0,2797
2003,3,2797,0,0,1,24.32,57.8,0,0,0,3348
2003,2,3348,0,1,0,55.53,96.15,0,0,0,3451
2003,1,3451,1,0,0,61.75,106.75,0,0,0,3432
2002,4,3432,0,0,0,59.18,102.3,0,0,0,2734
2002,3,2734,0,0,1,64.92,100.93,0,0,0,2872
2002,2,2872,0,1,0,69.63,106.24,0,0,0,2723
2002,1,2723,1,0,0,65.99,106.86,0,0,0,3065
2001,4,3065,0,0,0,61.2,98.03,0,0,0,2425
2001,3,2425,0,0,1,69.84,102.49,0,0,0,4528
2001,2,4528,0,1,0,71.68,108.19,0,0,0,3235
2001,1,3235,1,0,0,67.5,111.64,0,0,0,5738
2000,4,5738,0,0,0,63.47,102.63,0,0,0,9439
2000,3,9439,0,0,1,66.9,99.58,0,0,0,12351
2000,2,12351,0,1,0,65.94,105.02,0,0,0,13639
2000,1,13639,1,0,0,62.88,105.34,0,0,0,17435
1999,4,17435,0,0,0,62.46,103,1,0,0,14258
1999,3,14258,0,0,1,66.52,98.92,1,0,0,14868
1999,2,14868,0,1,0,67.64,101.36,1,0,0,13846
1999,1,13846,1,0,0,67.05,103.41,1,0,0,18122
