Year,Quarter,Fed Heifers,Q1,Q2,Q3,Heifer Price ($/100 lbs.),AAA Boxed Beef Price ($/lbs),D2003Q2,D1999,Fed Heifers (t-1)
2012,4,38916,0,0,0,90.71,1.37,0,0,37859
2012,3,37859,0,0,1,89.94,1.41,0,0,51223
2012,2,51223,0,1,0,93.64,1.47,0,0,46895
2012,1,46895,1,0,0,95.17,1.44,0,0,42059
2011,4,42059,0,0,0,87.58,1.48,0,0,42976
2011,3,42976,0,0,1,85.36,1.4,0,0,55948
2011,2,55948,0,1,0,87.92,1.41,0,0,54085
2011,1,54085,1,0,0,87.26,1.44,0,0,46732
2010,4,46732,0,0,0,83.83,1.32,0,0,47721
2010,3,47721,0,0,1,82,1.32,0,0,61413
2010,2,61413,0,1,0,83.35,1.46,0,0,48056
2010,1,48056,1,0,0,78.79,1.29,0,0,47064
2009,4,47064,0,0,0,76.85,1.24,0,0,44986
2009,3,44986,0,0,1,82.85,1.32,0,0,57773
2009,2,57773,0,1,0,88.97,1.52,0,0,53101
2009,1,53101,1,0,0,88.54,1.51,0,0,52676
2008,4,52676,0,0,0,84.38,1.55,0,0,48320
2008,3,48320,0,0,1,84.63,1.6,0,0,61976
2008,2,61976,0,1,0,83.88,1.52,0,0,53853
2008,1,53853,1,0,0,82.71,1.44,0,0,51468
2007,4,51468,0,0,0,77.58,1.4,0,0,47490
2007,3,47490,0,0,1,84.54,1.53,0,0,61418
2007,2,61418,0,1,0,94.97,1.74,0,0,58685
2007,1,58685,1,0,0,90.97,1.71,0,0,54773
2006,4,54773,0,0,0,87,1.57,0,0,53659
2006,3,53659,0,0,1,87.38,1.68,0,0,63272
2006,2,63272,0,1,0,90.35,1.69,0,0,55152
2006,1,55152,1,0,0,95.12,1.71,0,0,56010
2005,4,56010,0,0,0,92.14,1.72,0,0,49694
2005,3,49694,0,0,1,88.66,1.64,0,0,64979
2005,2,64979,0,1,0,83.04,1.73,0,0,55097
2005,1,55097,1,0,0,84.57,1.65,0,0,61857
2004,4,61857,0,0,0,75.96,1.63,0,0,58035
2004,3,58035,0,0,1,70.29,1.7,0,0,57566
2004,2,57566,0,1,0,77.66,1.85,0,0,53630
2004,1,53630,1,0,0,82.59,1.73,0,0,45444
2003,4,45444,0,0,0,84.63,1.97,0,0,50515
2003,3,50515,0,0,1,57.26,1.72,0,0,42925
2003,2,42925,0,1,0,95.42,1.89,1,0,51233
2003,1,51233,1,0,0,106.63,1.97,0,0,47357
2002,4,47357,0,0,0,101.73,1.95,0,0,46831
2002,3,46831,0,0,1,100.2,1.83,0,0,51857
2002,2,51857,0,1,0,105.27,1.89,0,0,53677
2002,1,53677,1,0,0,106.63,2.05,0,0,53569
2001,4,53569,0,0,0,97.48,2,0,0,46391
2001,3,46391,0,0,1,101.63,2.09,0,0,49254
2001,2,49254,0,1,0,107.1,2.18,0,0,55432
2001,1,55432,1,0,0,111.22,2.3,0,0,49628
2000,4,49628,0,0,0,102.39,2.3,0,0,56436
2000,3,56436,0,0,1,98.9,2.07,0,0,59282
2000,2,59282,0,1,0,103.53,2.38,0,0,63586
2000,1,63586,1,0,0,104.6,2.27,0,1,58796
1999,4,58796,0,0,0,102.17,2.39,0,1,62030
1999,3,62030,0,0,1,98.09,2.33,0,1,65049
1999,2,65049,0,1,0,100.26,2.26,0,1,59561
1999,1,59561,1,0,0,102.29,2.18,0,0,54819
