Year,Quarter,Fed Steers,Q1,Q2,Q3,Steer Price ($/100 lbs.),AAA Boxed Beef Price ($/lbs.),D9900,D2001Q1,D2006Q3,Fed Steers (t-1)
2012,4,102983,0,0,0,91.51,1.37,0,0,0,98111
2012,3,98111,0,0,1,92.71,1.41,0,0,0,81955
2012,2,81955,0,1,0,95.01,1.47,0,0,0,82488
2012,1,82488,1,0,0,96.82,1.44,0,0,0,97769
2011,4,97769,0,0,0,89.86,1.48,0,0,0,100104
2011,3,100104,0,0,1,87.86,1.4,0,0,0,88281
2011,2,88281,0,1,0,89.02,1.41,0,0,0,88891
2011,1,88891,1,0,0,88.53,1.44,0,0,0,108563
2010,4,108563,0,0,0,85.69,1.32,0,0,0,104872
2010,3,104872,0,0,1,84.29,1.32,0,0,0,103862
2010,2,103862,0,1,0,83.97,1.46,0,0,0,99702
2010,1,99702,1,0,0,79.25,1.29,0,0,0,114282
2009,4,114282,0,0,0,77.71,1.24,0,0,0,106066
2009,3,106066,0,0,1,84.57,1.32,0,0,0,94431
2009,2,94431,0,1,0,90.03,1.52,0,0,0,92063
2009,1,92063,1,0,0,90.03,1.51,0,0,0,102097
2008,4,102097,0,0,0,86.35,1.55,0,0,0,105055
2008,3,105055,0,0,1,86.41,1.6,0,0,0,98096
2008,2,98096,0,1,0,84.25,1.52,0,0,0,98697
2008,1,98697,1,0,0,82.06,1.44,0,0,0,97641
2007,4,97641,0,0,0,78.02,1.4,0,0,0,98137
2007,3,98137,0,0,1,86.7,1.53,0,0,0,100539
2007,2,100539,0,1,0,96.91,1.74,0,0,0,106099
2007,1,106099,1,0,0,92.04,1.71,0,0,0,108899
2006,4,108899,0,0,0,88.41,1.57,0,0,0,124639
2006,3,124639,0,0,1,89.94,1.68,0,0,1,108057
2006,2,108057,0,1,0,92.98,1.69,0,0,0,98574
2006,1,98574,1,0,0,96.84,1.71,0,0,0,119365
2005,4,119365,0,0,0,94.62,1.72,0,0,0,116614
2005,3,116614,0,0,1,92.18,1.64,0,0,0,114995
2005,2,114995,0,1,0,86.8,1.73,0,0,0,107020
2005,1,107020,1,0,0,86.69,1.65,0,0,0,123634
2004,4,123634,0,0,0,78.31,1.63,0,0,0,127754
2004,3,127754,0,0,1,74.52,1.7,0,0,0,115522
2004,2,115522,0,1,0,80.8,1.85,0,0,0,110188
2004,1,110188,1,0,0,84.12,1.73,0,0,0,112179
2003,4,112179,0,0,0,86.22,1.97,0,0,0,110264
2003,3,110264,0,0,1,58.33,1.72,0,0,0,102943
2003,2,102943,0,1,0,96.88,1.89,0,0,0,103157
2003,1,103157,1,0,0,106.86,1.97,0,0,0,110490
2002,4,110490,0,0,0,102.86,1.95,0,0,0,107729
2002,3,107729,0,0,1,101.66,1.83,0,0,0,103160
2002,2,103160,0,1,0,107.22,1.89,0,0,0,94564
2002,1,94564,1,0,0,107.1,2.05,0,0,0,95494
2001,4,95494,0,0,0,98.58,2,0,0,0,96686
2001,3,96686,0,0,1,103.35,2.09,0,0,0,93446
2001,2,93446,0,1,0,109.28,2.18,0,0,0,78582
2001,1,78582,1,0,0,112.06,2.3,0,1,0,97963
2000,4,97963,0,0,0,102.88,2.3,0,0,0,108914
2000,3,108914,0,0,1,100.26,2.07,0,0,0,87371
2000,2,87371,0,1,0,106.52,2.38,1,0,0,81501
2000,1,81501,1,0,0,106.09,2.27,1,0,0,93988
1999,4,93988,0,0,0,103.83,2.39,1,0,0,93614
1999,3,93614,0,0,1,99.75,2.33,1,0,0,89871
1999,2,89871,0,1,0,102.47,2.26,1,0,0,81100
1999,1,81100,1,0,0,104.52,2.18,1,0,0,94275
