Year,Quarter,Stocker Demand,Q1,Q2,Q3,Avg. Rail Grade Feeder Price ($/100 lbs.),Avg. Fed Price ($/100 lbs.),Corn Price ($/Bushel),D2012Q4
2012,4,22523,0,0,0,111.02,91.11,3.5,1
2012,3,122191,0,0,1,117.28,91.33,3.55,0
2012,2,178350,0,1,0,115.23,94.32,3.1,0
2012,1,93629,1,0,0,114.91,96,3.32,0
2011,4,55764,0,0,0,107.49,88.72,3.45,0
2011,3,107158,0,0,1,107.11,86.61,4.04,0
2011,2,179304,0,1,0,102.08,88.47,3.79,0
2011,1,84203,1,0,0,108.17,87.89,3.58,0
2010,4,41897,0,0,0,106.92,84.76,3.57,0
2010,3,106147,0,0,1,101.63,83.14,2.83,0
2010,2,183653,0,1,0,94.97,83.66,3.25,0
2010,1,96881,1,0,0,93.96,79.02,3.19,0
2009,4,70029,0,0,0,95.99,77.28,3.24,0
2009,3,167101,0,0,1,102.79,83.71,3.25,0
2009,2,185173,0,1,0,98.5,89.5,3.26,0
2009,1,105162,1,0,0,93.74,89.29,3.14,0
2008,4,65395,0,0,0,92.15,85.36,2.84,0
2008,3,145540,0,0,1,98.14,85.52,4.02,0
2008,2,183192,0,1,0,94.77,84.07,3.5,0
2008,1,98520,1,0,0,93.07,82.39,3.27,0
2007,4,70617,0,0,0,100.18,77.8,3.29,0
2007,3,148554,0,0,1,104.75,85.62,2.72,0
2007,2,191517,0,1,0,100.46,95.94,3.26,0
2007,1,113021,1,0,0,100.24,91.51,3.47,0
2006,4,83423,0,0,0,107.7,87.71,3.42,0
2006,3,126383,0,0,1,117.13,88.66,3.06,0
2006,2,210167,0,1,0,108.24,91.67,3.02,0
2006,1,100159,1,0,0,115.67,95.98,3.15,0
2005,4,89693,0,0,0,122.6,93.38,3.3,0
2005,3,114829,0,0,1,118.07,90.42,2.75,0
2005,2,164211,0,1,0,98.2,84.92,3.15,0
2005,1,149896,1,0,0,102.21,85.63,2.94,0
2004,4,53321,0,0,0,102.74,77.14,2.59,0
2004,3,120831,0,0,1,90.51,72.4,3.37,0
2004,2,218291,0,1,0,94.71,79.23,3.15,0
2004,1,155840,1,0,0,90.92,83.36,3.21,0
2003,4,58406,0,0,0,121.55,85.43,3.07,0
2003,3,105146,0,0,1,117.95,57.8,3.11,0
2003,2,187923,0,1,0,112.68,96.15,3.03,0
2003,1,144441,1,0,0,118.4,106.75,3.12,0
2002,4,78296,0,0,0,128.59,102.3,3.24,0
2002,3,133743,0,0,1,120.7,100.93,3.1,0
2002,2,179767,0,1,0,118.32,106.24,3.28,0
2002,1,211606,1,0,0,119.45,106.86,3.27,0
2001,4,92528,0,0,0,127.43,98.03,3.47,0
2001,3,143217,0,0,1,133.07,102.49,3.06,0
2001,2,169978,0,1,0,118.09,108.19,3.34,0
