Year,Quarter,Heifer Price ($/100 lbs.),Q1,Q2,Q3,U.S. Heifer Price ($CDN/100 lbs.),Trend,Heifer Price ($/100 lbs.) (t-1)
2012,4,111.58,0,0,0,124.6,82,107.11
2012,3,107.11,0,0,1,119.29,81,113.29
2012,2,113.29,0,1,0,122.06,80,118.4
2012,1,118.4,1,0,0,125.48,79,110.62
2011,4,110.62,0,0,0,124.94,78,104.01
2011,3,104.01,0,0,1,111.81,77,106.12
2011,2,106.12,0,1,0,108.81,76,101.35
2011,1,101.35,1,0,0,108.47,75,91.47
2010,4,91.47,0,0,0,101.77,74,90.41
2010,3,90.41,0,0,1,99.4,73,91.5
2010,2,91.5,0,1,0,98.92,72,84.78
2010,1,84.78,1,0,0,92.94,71,78.67
2009,4,78.67,0,0,0,87.92,70,85.37
2009,3,85.37,0,0,1,91.23,69,96.83
2009,2,96.83,0,1,0,98.59,68,97.37
2009,1,97.37,1,0,0,102.3,67,93.51
2008,4,93.51,0,0,0,107.93,66,94.43
2008,3,94.43,0,0,1,102.85,65,87.23
2008,2,87.23,0,1,0,93.74,64,81.69
2008,1,81.69,1,0,0,91.37,63,75.44
2007,4,75.44,0,0,0,91.18,62,88.15
2007,3,88.15,0,0,1,96.35,61,102.55
2007,2,102.55,0,1,0,103.7,60,95.12
2007,1,95.12,1,0,0,106.85,59,87.33
2006,4,87.33,0,0,0,99.59,58,90.37
2006,3,90.37,0,0,1,95.8,57,91.55
2006,2,91.55,0,1,0,91.15,56,95.21
2006,1,95.21,1,0,0,104.04,55,93.45
2005,4,93.45,0,0,0,106.55,54,88.66
2005,3,88.66,0,0,1,98.59,53,96.6
2003,2,96.6,0,1,0,109.39,52,108.66
2003,1,108.66,1,0,0,118.41,51,98.93
2002,4,98.93,0,0,0,109.22,50,96.58
2002,3,96.58,0,0,1,100.13,49,102.17
2002,2,102.17,0,1,0,102.06,48,109.87
2002,1,109.87,1,0,0,112.02,47,98.5
2001,4,98.5,0,0,0,102.57,46,107.52
2001,3,107.52,0,0,1,108.05,45,116.76
2001,2,116.76,0,1,0,116.89,44,114.07
2001,1,114.07,1,0,0,120.96,43,99.76
2000,4,99.76,0,0,0,106.14,42,99.46
2000,3,99.46,0,0,1,97.93,41,104.71
2000,2,104.71,0,1,0,105.56,40,101.02
2000,1,101.02,1,0,0,101.36,39,95.86
1999,4,95.86,0,0,0,102.45,38,88.4
1999,3,88.4,0,0,1,96.76,37,90.55
1999,2,90.55,0,1,0,96.35,36,89.18
1999,1,89.18,1,0,0,95.24,35,83.71
1998,4,83.71,0,0,0,94.47,34,84.79
1998,3,84.79,0,0,1,89.44,33,88.02
1998,2,88.02,0,1,0,93.06,32,85.74
1998,1,85.74,1,0,0,89.22,31,83.45
1997,4,83.45,0,0,0,94.14,30,85.91
1997,3,85.91,0,0,1,90.14,29,86.28
1997,2,86.28,0,1,0,91.75,28,83.18
1997,1,83.18,1,0,0,89.76,27,83.47
1996,4,83.47,0,0,0,93.68,26,81.7
1996,3,81.7,0,0,1,92.15,25,74.61
1996,2,74.61,0,1,0,82.25,24,78.72
1996,1,78.72,1,0,0,86.36,23,81.44
1995,4,81.44,0,0,0,90,22,82.54
1995,3,82.54,0,0,1,84.79,21,85.71
1995,2,85.71,0,1,0,89.45,20,93.76
1995,1,93.76,1,0,0,101.82,19,85.79
1994,4,85.79,0,0,0,93.57,18,90.26
1994,3,90.26,0,0,1,91.33,17,92.87
1994,2,92.87,0,1,0,71.09,16,94.63
1994,1,94.63,1,0,0,98.92,15,91.49
1993,4,91.49,0,0,0,95.73,14,93.33
1993,3,93.33,0,0,1,96.64,13,97.61
1993,2,97.61,0,1,0,101.42,12,95.67
1993,1,95.67,1,0,0,101.81,11,89.79
1992,4,89.79,0,0,0,96.35,10,84.53
1992,3,84.53,0,0,1,88.92,9,85.38
1992,2,85.38,0,1,0,90.63,8,80.72
1992,1,80.72,1,0,0,89.61,7,74.28
1991,4,74.28,0,0,0,80.42,6,81.86
1991,3,81.86,0,0,1,79.35,5,87.2
1991,2,87.2,0,1,0,89.16,4,87.58
1991,1,87.58,1,0,0,92.37,3,88.79
1990,4,88.79,0,0,0,93.31,2,85.76
1990,3,85.76,0,0,1,88.55,1,86.37
