Year,Quarter,Steer Price ($/100 lbs.),Q1,Q2,Q3,US Steer Price ($CDN/100 lbs.),Trend,Steer Price ($/100 lbs.) (t-1)
2012,4,112.57,0,0,0,124.44,83,110.41
2012,3,110.41,0,0,1,119.06,82,114.95
2012,2,114.95,0,1,0,122.14,81,120.45
2012,1,120.45,1,0,0,125.44,80,113.5
2011,4,113.5,0,0,0,124.82,79,107.05
2011,3,107.05,0,0,1,111.8,78,107.45
2011,2,107.45,0,1,0,109.14,77,102.82
2011,1,102.82,1,0,0,108.52,76,93.5
2010,4,93.5,0,0,0,101.56,75,92.93
2010,3,92.93,0,0,1,99.2,74,92.18
2010,2,92.18,0,1,0,98.99,73,85.27
2010,1,85.27,1,0,0,93.1,72,79.56
2009,4,79.56,0,0,0,87.98,71,87.14
2009,3,87.14,0,0,1,91.14,70,97.98
2009,2,97.98,0,1,0,98.6,69,99.01
2009,1,99.01,1,0,0,102.34,68,95.7
2008,4,95.7,0,0,0,107.77,67,96.42
2008,3,96.42,0,0,1,102.64,66,87.61
2008,2,87.61,0,1,0,93.76,65,81.05
2008,1,81.05,1,0,0,91.25,64,75.87
2007,4,75.87,0,0,0,90.98,63,90.41
2007,3,90.41,0,0,1,96.17,62,104.64
2007,2,104.64,0,1,0,103.74,61,96.24
2007,1,96.24,1,0,0,106.9,60,88.75
2006,4,88.75,0,0,0,99.4,59,93.02
2006,3,93.02,0,0,1,95.68,58,94.22
2006,2,94.22,0,1,0,91.04,57,96.93
2006,1,96.93,1,0,0,103.98,56,95.97
2005,4,95.97,0,0,0,106.31,55,92.18
2005,3,92.18,0,0,1,98.52,54,98.08
2003,2,98.08,0,1,0,109.43,53,108.89
2003,1,108.89,1,0,0,118.34,52,100.03
2002,4,100.03,0,0,0,108.97,51,97.99
2002,3,97.99,0,0,1,99.81,50,104.06
2002,2,104.06,0,1,0,102.08,49,110.35
2002,1,110.35,1,0,0,111.8,48,99.61
2001,4,99.61,0,0,0,102.29,47,109.34
2001,3,109.34,0,0,1,108.06,46,119.14
2001,2,119.14,0,1,0,116.85,45,114.93
2001,1,114.93,1,0,0,120.96,44,100.24
2000,4,100.24,0,0,0,106.09,43,100.83
2000,3,100.83,0,0,1,97.82,42,107.73
2000,2,107.73,0,1,0,105.65,41,102.46
2000,1,102.46,1,0,0,101.26,40,97.42
1999,4,97.42,0,0,0,102.41,39,89.9
1999,3,89.9,0,0,1,96.82,38,92.54
1999,2,92.54,0,1,0,96.27,37,91.12
1999,1,91.12,1,0,0,95.17,36,86.67
1998,4,86.67,0,0,0,94.29,35,87.49
1998,3,87.49,0,0,1,89.43,34,90.63
1998,2,90.63,0,1,0,92.95,33,88.14
1998,1,88.14,1,0,0,89.15,32,86.9
1997,4,86.9,0,0,0,94.08,31,89.71
1997,3,89.71,0,0,1,90.11,30,89.54
1997,2,89.54,0,1,0,91.85,29,85.89
1997,1,85.89,1,0,0,89.71,28,88.02
1996,4,88.02,0,0,0,93.69,27,86.31
1996,3,86.31,0,0,1,92.22,26,77.24
1996,2,77.24,0,1,0,82.34,25,79.81
1996,1,79.81,1,0,0,86.34,24,84.11
1995,4,84.11,0,0,0,89.96,23,85.2
1995,3,85.2,0,0,1,84.87,22,87.2
1995,2,87.2,0,1,0,89.57,21,94.7
1995,1,94.7,1,0,0,101.99,20,87.75
1994,4,87.75,0,0,0,93.47,19,90.92
1994,3,90.92,0,0,1,91.34,18,95
1994,2,95,0,1,0,95.46,17,96.15
1994,1,96.15,1,0,0,98.88,16,93.33
1993,4,93.33,0,0,0,95.67,15,95.72
1993,3,95.72,0,0,1,96.61,14,100.48
1993,2,100.48,0,1,0,101.63,13,98.09
1993,1,98.09,1,0,0,102.06,12,92.79
1992,4,92.79,0,0,0,96.42,11,86.41
1992,3,86.41,0,0,1,88.88,10,87.12
1992,2,87.12,0,1,0,90.56,9,82.4
1992,1,82.4,1,0,0,89.64,8,74.54
1991,4,74.54,0,0,0,80.24,7,82.28
1991,3,82.28,0,0,1,79.18,6,89.45
1991,2,89.45,0,1,0,89.16,5,89.79
1991,1,89.79,1,0,0,92.39,4,91.09
1990,4,91.09,0,0,0,93.38,3,87.33
1990,3,87.33,0,0,1,88.65,2,87.81
1990,2,87.81,0,1,0,91.58,1,87.08
