Year,Quarter,Feeder Exports,Q1,Q2,Q3,US-Can Stocker Spread ($/100 lbs.),US Diesel Price ($USD/gallon),D0203,BSE,Feeder Exports (t-1)
2012,4,1271,0,0,0,-19.51360904,2.670916005,0,0,798
2012,3,798,0,0,1,-28.20903415,2.678187965,0,0,229
2012,2,229,0,1,0,-22.8339521,2.640568579,0,0,337
2012,1,337,1,0,0,-23.40898933,2.653714571,0,0,497
2011,4,497,0,0,0,-13.38609185,2.664509563,0,0,776
2011,3,776,0,0,1,-16.29495467,2.643195492,0,0,384
2011,2,384,0,1,0,-19.48487071,2.643024283,0,0,536
2011,1,536,1,0,0,-21.30606278,2.687990684,0,0,691
2010,4,691,0,0,0,-12.92350225,2.659752157,0,0,953
2010,3,953,0,0,1,-7.42277904,2.657719173,0,0,1301
2010,2,1301,0,1,0,-5.583856399,2.663018953,0,0,781
2010,1,781,1,0,0,1.18388652,2.640164299,0,0,2460
2009,4,2460,0,0,0,1.776789698,2.634753064,0,0,1303
2009,3,1303,0,0,1,4.84277118,2.639718793,0,0,2431
2009,2,2431,0,1,0,5.256417893,2.618031625,0,0,3308
2009,1,3308,1,0,0,13.82201606,2.543104933,0,0,3067
2008,4,3067,0,0,0,12.21495144,2.539935282,0,0,3076
2008,3,3076,0,0,1,-6.017692725,2.598171768,0,0,2099
2008,2,2099,0,1,0,-5.78328856,2.644630353,0,0,5375
2008,1,5375,1,0,0,-0.947746773,2.62687814,0,0,4814
2007,4,4814,0,0,0,-1.912337138,2.635738377,0,0,3973
2007,3,3973,0,0,1,2.097415712,2.628308485,0,0,4328
2007,2,4328,0,1,0,0.526025749,2.590380901,0,0,4385
2007,1,4385,1,0,0,4.804991825,2.55939505,0,0,4422
2006,4,4422,0,0,0,6.262358797,2.563096975,0,0,4590
2006,3,4590,0,0,1,1.370138513,2.604240972,0,0,2721
2006,2,2721,0,1,0,3.842249027,2.586555375,0,0,6727
2006,1,6727,1,0,0,0.556320197,2.548181817,0,0,7648
2005,4,7648,0,0,0,0.214008786,2.537069967,0,0,5993
2005,3,5993,0,0,1,12.91304006,2.563997436,0,0,0
2005,2,0,0,1,0,19.84859918,2.542713919,0,1,0
2005,1,0,1,0,0,9.813701133,2.563721823,0,1,0
2004,4,0,0,0,0,17.28353229,2.5618105,0,1,0
2004,3,0,0,0,1,34.07004813,2.54714882,0,1,0
2004,2,0,0,1,0,22.13396206,2.471971876,0,1,0
2004,1,0,1,0,0,18.48908938,2.49779476,0,1,0
2003,4,0,0,0,0,-5.097757562,2.500106674,0,1,0
2003,3,0,0,0,1,8.927295876,2.446748926,0,1,9406
2003,2,9406,0,1,0,3.109273534,2.370089343,0,0,17277
2003,1,17277,1,0,0,8.763455182,2.511029633,1,0,25354
2002,4,25354,0,0,0,20.39312847,2.520703271,1,0,17316
2002,3,17316,0,0,1,23.39028099,2.497270813,1,0,18543
2002,2,18543,0,1,0,15.23914603,2.449223822,1,0,14905
2002,1,14905,1,0,0,18.79737684,2.416466479,0,0,11820
2001,4,11820,0,0,0,23.67667539,2.388563452,0,0,7913
2001,3,7913,0,0,1,11.05084706,2.486543335,0,0,13232
2001,2,13232,0,1,0,13.13437952,2.484401067,0,0,10974
2001,1,10974,1,0,0,9.906480515,2.448004984,0,0,10980
2000,4,10980,0,0,0,14.95802576,2.543228692,0,0,8543
2000,3,8543,0,0,1,17.61230764,2.568791465,0,0,9071
2000,2,9071,0,1,0,11.02899807,2.503011188,0,0,8366
2000,1,8366,1,0,0,14.95268654,2.534602098,0,0,7220
1999,4,7220,0,0,0,15.13757381,2.542549905,0,0,5359
1999,3,5359,0,0,1,15.48505978,2.518820991,0,0,6002
1999,2,6002,0,1,0,11.74295439,2.449502548,0,0,6969
1999,1,6969,1,0,0,17.58776243,2.37412276,0,0,9207
1998,4,9207,0,0,0,21.63445481,2.390394428,0,0,7761
1998,3,7761,0,0,1,18.61746338,2.37046512,0,0,7098
1998,2,7098,0,1,0,14.00996579,2.392640698,0,0,7058
