Year,Quarter,Railgrade Feeder Steer Price ($/100 lbs.),Q1,Q2,Q3,Steer Price ($/100 lbs.),D2003Q3,Railgrade Feeder Steer Price ($/100 lbs.) (t-1)
2012,4,138.49,0,0,0,112.57,0,140.78
2012,3,140.78,0,0,1,110.41,0,138.95
2012,2,138.95,0,1,0,114.95,0,144.27
2012,1,144.27,1,0,0,120.45,0,136.13
2011,4,136.13,0,0,0,113.5,0,131.41
2011,3,131.41,0,0,1,107.05,0,122.26
2011,2,122.26,0,1,0,107.45,0,127.11
2011,1,127.11,1,0,0,102.82,0,116.97
2010,4,116.97,0,0,0,93.5,0,113.07
2010,3,113.07,0,0,1,92.93,0,104.41
2010,2,104.41,0,1,0,92.18,0,102.68
2010,1,102.68,1,0,0,85.27,0,100.04
2009,4,100.04,0,0,0,79.56,0,106.67
2009,3,106.67,0,0,1,87.14,0,107.23
2009,2,107.23,0,1,0,97.98,0,105.37
2009,1,105.37,1,0,0,99.01,0,105.09
2008,4,105.09,0,0,0,95.7,0,111.55
2008,3,111.55,0,0,1,96.42,0,99.7
2008,2,99.7,0,1,0,87.61,0,93.61
2008,1,93.61,1,0,0,81.05,0,99.63
2007,4,99.63,0,0,0,75.87,0,110.45
2007,3,110.45,0,0,1,90.41,0,108.54
2007,2,108.54,0,1,0,104.64,0,106.39
2007,1,106.39,1,0,0,96.24,0,109.2
2006,4,109.2,0,0,0,88.75,0,121.21
2006,3,121.21,0,0,1,93.02,0,108.55
2006,2,108.55,0,1,0,94.22,0,115.7
2006,1,115.7,1,0,0,96.93,0,124.99
2005,4,124.99,0,0,0,95.97,0,118.32
2005,3,118.32,0,0,1,92.18,0,97.83
2005,2,97.83,0,1,0,86.88,0,104.7
2005,1,104.7,1,0,0,88.25,0,100.5
2004,4,100.5,0,0,0,75.19,0,89.52
2004,3,89.52,0,0,1,73.6,0,93.52
2004,2,93.52,0,1,0,79.57,0,87.7
2004,1,87.7,1,0,0,79.73,0,112.85
2003,4,112.85,0,0,0,79.67,0,105
2003,3,105,0,0,1,52.24,1,111.66
2003,2,111.66,0,1,0,98.08,0,120.5
2003,1,120.5,1,0,0,108.89,0,124.5
2002,4,124.5,0,0,0,100.03,0,116.03
2002,3,116.03,0,0,1,97.99,0,112.67
2002,2,112.67,0,1,0,104.06,0,122.15
2002,1,122.15,1,0,0,110.35,0,126.59
2001,4,126.59,0,0,0,99.61,0,138.71
2001,3,138.71,0,0,1,109.34,0,127.16
2001,2,127.16,0,1,0,119.14,0,125.9
2001,1,125.9,1,0,0,114.93,0,128.47
2000,4,128.47,0,0,0,100.24,0,127.06
2000,3,127.06,0,0,1,100.83,0,119.7
2000,2,119.7,0,1,0,107.73,0,118.42
2000,1,118.42,1,0,0,102.46,0,117.43
1999,4,117.43,0,0,0,97.42,0,112.34
1999,3,112.34,0,0,1,89.9,0,104.42
1999,2,104.42,0,1,0,92.54,0,105.39
1999,1,105.39,1,0,0,91.12,0,105.92
1998,4,105.92,0,0,0,86.67,0,101.87
1998,3,101.87,0,0,1,87.49,0,103.63
1998,2,103.63,0,1,0,90.63,0,104.18
1998,1,104.18,1,0,0,88.14,0,106.99
1997,4,106.99,0,0,0,86.9,0,108.71
1997,3,108.71,0,0,1,89.71,0,99.76
1997,2,99.76,0,1,0,89.54,0,94.81
1997,1,94.81,1,0,0,85.89,0,92.65
1996,4,92.65,0,0,0,88.02,0,93.1
1996,3,93.1,0,0,1,86.31,0,81.55
1996,2,81.55,0,1,0,77.24,0,80.27
