Year,Quarter,Exports to ROW,Q1,Q2,Q3,ROW Export Unit Value,Fed Price,D2003Q3,D03Q404Q3,Exports to ROW (t-1)
2012,4,15.69981913,0,0,0,2.182987326,91.10751622,0,0,15.37233388
2012,3,15.37233388,0,0,1,1.931662156,91.32742173,0,0,15.11938698
2012,2,15.11938698,0,1,0,1.982231283,94.32340395,0,0,15.0493125
2012,1,15.04931261,1,0,0,2.036004779,95.99617386,0,0,15.38076345
2011,4,15.38076354,0,0,0,2.052503296,88.72118797,0,0,15.22441805
2011,3,15.22441805,0,0,1,1.592513504,86.61191736,0,0,15.29415773
2011,2,15.29415778,0,1,0,1.818414103,88.4693981,0,0,15.22805812
2011,1,15.22805802,1,0,0,1.721384251,87.89493458,0,0,15.64884077
2010,4,15.6488407,0,0,0,1.760675191,84.75779369,0,0,15.1955579
2010,3,15.19555795,0,0,1,1.75283032,83.14255811,0,0,15.40789097
2010,2,15.40789102,0,1,0,1.730973339,83.65702418,0,0,15.34364939
2010,1,15.34364947,1,0,0,1.405385027,79.02146955,0,0,15.67247214
2009,4,15.67247208,0,0,0,1.395259829,77.28023656,0,0,15.4294412
2009,3,15.42944116,0,0,1,1.53646144,83.7110737,0,0,15.33665211
2009,2,15.3366522,0,1,0,1.423522993,89.50040577,0,0,15.50038936
2009,1,15.50038928,1,0,0,1.466571057,89.28676164,0,0,15.76197898
2008,4,15.76197898,0,0,0,1.713695423,85.36338049,0,0,15.41608587
2008,3,15.41608591,0,0,1,1.636475359,85.51704254,0,0,15.5665665
2008,2,15.56656643,0,1,0,1.457967597,84.06690408,0,0,15.67338755
2008,1,15.67338761,1,0,0,1.424429456,82.38712502,0,0,15.15193093
2007,4,15.15193088,0,0,0,1.619137231,77.79757321,0,0,15.283402
2007,3,15.28340196,0,0,1,1.610397222,85.62098363,0,0,15.5243184
2007,2,15.5243184,0,1,0,1.238937302,95.94154349,0,0,15.12718821
2007,1,15.12718832,1,0,0,1.693028855,91.50866489,0,0,15.10101992
2006,4,15.10102003,0,0,0,1.830626507,87.70683066,0,0,15.04574374
2006,3,15.04574362,0,0,1,1.691864902,88.6637603,0,0,14.7265952
2006,2,14.72659536,0,1,0,1.980500958,91.66626526,0,0,14.78766603
2006,1,14.78766618,1,0,0,1.827843009,95.97885195,0,0,14.7619114
2005,4,14.7619114,0,0,0,2.225474573,93.37980338,0,0,15.07419527
2005,3,15.07419539,0,0,1,1.534804883,90.42000001,0,0,15.6473032
2005,2,15.64730323,0,1,0,1.505140341,84.91935488,0,0,14.33320065
2005,1,14.33320077,1,0,0,1.497775109,85.6299207,0,0,14.14753104
2004,4,14.14753076,0,0,0,1.147898345,77.13667659,0,0,14.16429328
2004,3,14.16429314,0,0,1,0.803469504,72.403875,0,0,13.88672884
2004,2,13.88672922,0,1,0,0.749660105,79.22885728,0,1,13.9502472
2004,1,13.95024685,1,0,0,1.085573477,83.35898293,0,1,13.241058
2003,4,13.241058,0,0,0,0.519060759,85.42503084,0,1,12.64092178
2003,3,12.64092178,0,0,1,0.8204725,57.79775187,1,0,14.89255458
2003,2,14.89255458,0,1,0,1.996805585,96.15292685,0,0,15.53491157
2003,1,15.5349115,1,0,0,2.044703442,106.747507,0,0,15.71064328
2002,4,15.71064322,0,0,0,1.758494586,102.2973046,0,0,15.18411772
2002,3,15.18411767,0,0,1,1.117974999,100.9271971,0,0,14.99830399
2002,2,14.99830406,0,1,0,1.522552038,106.2427544,0,0,14.81042584
2002,1,14.81042576,1,0,0,1.394720159,106.8625161,0,0,15.39664228
2001,4,15.3966422,0,0,0,1.906154838,98.03093518,0,0,15.24427271
2001,3,15.24427276,0,0,1,2.365303054,102.4926301,0,0,15.17497628
2001,2,15.17497623,0,1,0,2.699687912,108.1893293,0,0,15.1926403
2001,1,15.1926403,1,0,0,2.373997851,111.6375,0,0,15.28321544
2000,4,15.28321554,0,0,0,2.193022947,102.6315789,0,0,15.3508658
2000,3,15.35086588,0,0,1,2.103203375,99.5776062,0,0,15.08893959
2000,2,15.08893965,0,1,0,2.424031965,105.0231549,0,0,14.89109459
2000,1,14.89109472,1,0,0,2.381425441,105.3414159,0,0,15.34038098
1999,4,15.34038094,0,0,0,1.919384762,102.9978948,0,0,15.28927998
1999,3,15.28927994,0,0,1,1.877360226,98.91986303,0,0,15.15522083
1999,2,15.15522078,0,1,0,2.623484571,101.3637066,0,0,14.99419552
1999,1,14.9941954,1,0,0,2.146045259,103.4073529,0,0,15.01897601
1998,4,15.01897613,0,0,0,2.629105523,98.9030649,0,0,14.97098044
1998,3,14.97098038,0,0,1,2.366548648,95.37899052,0,0,15.15035256
1998,2,15.15035266,0,1,0,2.37616535,95.88096326,0,0,15.04200541
1998,1,15.04200552,1,0,0,2.216112272,96.97862293,0,0,15.48700296
1997,4,15.48700303,0,0,0,2.416692464,91.24036118,0,0,15.47970245
1997,3,15.47970253,0,0,1,1.991742493,92.5564865,0,0,15.33085785
1997,2,15.33085777,0,1,0,2.322636087,89.96037899,0,0,15.45729883
1997,1,15.45729891,1,0,0,2.611287266,90.3709188,0,0,14.947742
1996,4,14.947742,0,0,0,2.421058228,87.57467019,0,0,15.09011922
1996,3,15.09011916,0,0,1,2.099799196,87.32207801,0,0,15.08045921
1996,2,15.08045926,0,1,0,2.283204206,83.71625658,0,0,15.37471806
1996,1,15.37471798,1,0,0,2.175580462,86.76304056,0,0,15.40817559
1995,4,15.40817559,0,0,0,2.38008423,93.72266125,0,0,15.43139596
1995,3,15.43139604,0,0,1,2.042401548,94.35375003,0,0,15.36769145
