Year,Quarter,Imports from ROW,Q1,Q2,Q3,Unit Value ROW Imports ($/lbs.),Ont.-US Retail Beef Price Spread ($/lbs.),D2002,D2003Q4,D0408,D2009Q4,Imports t-1
2012,4,18146712.99,0,0,0,1.666408889,1.804,0,0,0,0,11947110.41
2012,3,11947110.41,0,0,1,1.660459923,1.986,0,0,0,0,14403762.28
2012,2,14403762.28,0,1,0,1.630953823,1.822,0,0,0,0,25906384.45
2012,1,25906384.45,1,0,0,1.71107428,1.691,0,0,0,0,12609991.07
2011,4,12609991.07,0,0,0,1.492588253,1.372,0,0,0,0,9850177.172
2011,3,9850177.172,0,0,1,1.634153261,1.683,0,0,0,0,17628015.78
2011,2,17628015.78,0,1,0,1.689928577,1.691,0,0,0,0,13269782.29
2011,1,13269782.29,1,0,0,1.563104134,1.499,0,0,0,0,7246288.756
2010,4,7246288.756,0,0,0,1.503048197,1.532,0,0,0,0,9416744.572
2010,3,9416744.572,0,0,1,1.441676733,1.466,0,0,0,0,15839224.74
2010,2,15839224.74,0,1,0,1.45420297,1.379,0,0,0,0,23417636.66
2010,1,23417636.66,1,0,0,1.322055824,1.58,0,0,0,0,6920509.832
2009,4,6920509.832,0,0,0,1.36819351,1.434,0,0,0,1,13072220.97
2009,3,13072220.97,0,0,1,1.37499432,1.481,0,0,0,0,19058047.29
2009,2,19058047.29,0,1,0,1.330383117,1.022,0,0,0,0,20419481.94
2009,1,20419481.94,1,0,0,1.392923987,0.543,0,0,0,0,6563273.201
2008,4,6563273.201,0,0,0,1.665522754,0.482,0,0,1,0,8832953.488
2008,3,8832953.488,0,0,1,1.467133599,0.98,0,0,1,0,5826925.146
2008,2,5826925.146,0,1,0,1.552281762,1.203,0,0,1,0,12360296.52
2008,1,12360296.52,1,0,0,1.422391314,1.171,0,0,1,0,7174186.978
2007,4,7174186.978,0,0,0,1.382374881,1.219,0,0,1,0,10962599.59
2007,3,10962599.59,0,0,1,1.420705509,0.93,0,0,1,0,10617349.86
2007,2,10617349.86,0,1,0,1.522746018,0.661,0,0,1,0,13203598.97
2007,1,13203598.97,1,0,0,1.502364132,0.384,0,0,1,0,5346752.9
2006,4,5346752.9,0,0,0,1.501896792,0.578,0,0,1,0,5030349.385
2006,3,5030349.385,0,0,1,1.584310592,0.595,0,0,1,0,9379152.827
2006,2,9379152.827,0,1,0,1.469384601,0.482,0,0,1,0,10777810.55
2006,1,10777810.55,1,0,0,1.512953629,0.245,0,0,1,0,7976418.028
2005,4,7976418.028,0,0,0,1.535176007,0.113,0,0,1,0,8293644.031
2005,3,8293644.031,0,0,1,1.497011828,0.011,0,0,1,0,15325060.69
2005,2,15325060.69,0,1,0,1.448068129,-0.424,0,0,1,0,10574965.28
2005,1,10574965.28,1,0,0,1.653326829,-0.231,0,0,1,0,5757419.91
2004,4,5757419.91,0,0,0,1.687175438,-0.287,0,0,1,0,6642506.931
2004,3,6642506.931,0,0,1,1.767171777,-0.681,0,0,1,0,13296348.41
2004,2,13296348.41,0,1,0,1.380364185,-1.028,0,0,1,0,12942150.2
2004,1,12942150.2,1,0,0,1.578999244,-0.854,0,0,1,0,5267150.12
2003,4,5267150.12,0,0,0,1.705875997,-1.289,0,1,0,0,15525587.08
2003,3,15525587.08,0,0,1,1.322549673,-0.982,0,0,0,0,28431265.63
2003,2,28431265.63,0,1,0,1.429141909,-0.578,0,0,0,0,27840434.49
2003,1,27840434.49,1,0,0,1.331066077,-0.757,0,0,0,0,20686668.15
2002,4,20686668.15,0,0,0,1.335723219,-0.977,0,0,0,0,34209023.08
2002,3,34209023.08,0,0,1,1.3814828,-0.926,1,0,0,0,32933469.21
2002,2,32933469.21,0,1,0,1.501501944,-0.932,1,0,0,0,32769212.85
2002,1,32769212.85,1,0,0,1.436911627,-1.254,1,0,0,0,13922266.18
2001,4,13922266.18,0,0,0,1.501451806,-1.385,0,0,0,0,31015573.27
2001,3,31015573.27,0,0,1,1.368066488,-1.425,0,0,0,0,31295973.34
2001,2,31295973.34,0,1,0,1.342651426,-1.351,0,0,0,0,31768951.41
2001,1,31768951.41,1,0,0,1.3831733,-1.352,0,0,0,0,18038158.7
2000,4,18038158.7,0,0,0,1.33817204,-1.409,0,0,0,0,19134432.14
2000,3,19134432.14,0,0,1,1.391920688,-1.228,0,0,0,0,27590994.74
2000,2,27590994.74,0,1,0,1.358459565,-1.355,0,0,0,0,24816020.74
2000,1,24816020.74,1,0,0,1.366634196,-1.227,0,0,0,0,17805180.28
1999,4,17805180.28,0,0,0,1.44214426,-1.452,0,0,0,0,23254285.6
1999,3,23254285.6,0,0,1,1.480230406,-1.369,0,0,0,0,27234633.18
1999,2,27234633.18,0,1,0,1.424157903,-1.266,0,0,0,0,22725540.91
1999,1,22725540.91,1,0,0,1.398662413,-1.394,0,0,0,0,12826193.43
1998,4,12826193.43,0,0,0,1.49697292,-1.543,0,0,0,0,20521835.02
1998,3,20521835.02,0,0,1,1.466678042,-1.421,0,0,0,0,22976901.81
1998,2,22976901.81,0,1,0,1.368623214,-1.212,0,0,0,0,16288990.37
1998,1,16288990.37,1,0,0,1.467101643,-1.1,0,0,0,0,11251364.86
1997,4,11251364.86,0,0,0,1.480037962,-1.199,0,0,0,0,21402108.43
1997,3,21402108.43,0,0,1,1.397663501,-1.136,0,0,0,0,26140594.27
1997,2,26140594.27,0,1,0,1.3950097,-1.138,0,0,0,0,17192778.52
1997,1,17192778.52,1,0,0,1.34590093,-1.11,0,0,0,0,12774991.13
1996,4,12774991.13,0,0,0,1.297029788,-1.174,0,0,0,0,15807577.95
1996,3,15807577.95,0,0,1,1.310844325,-1.215,0,0,0,0,19955193.63
1996,2,19955193.63,0,1,0,1.334312002,-1.07,0,0,0,0,13551394.3
1996,1,13551394.3,1,0,0,1.523954224,-1.083,0,0,0,0,11195248.44
1995,4,11195248.44,0,0,0,1.481869974,-1.123,0,0,0,0,21252816.8
1995,3,21252816.8,0,0,1,1.426254571,-1.068,0,0,0,0,23045936.01
