Year,Quarter,Ont. Retail Beef Price ($/lbs.),Q1,Q2,Q3,Ontaro Wholesale Price,Trend,Ont. Retail Beef Price ($/lbs.) (t-1)
2012,4,6.53,0,0,0,1.85,55,6.62
2012,3,6.62,0,0,1,1.91,54,6.53
2012,2,6.53,0,1,0,1.85,53,6.45
2012,1,6.45,1,0,0,1.77,52,6.25
2011,4,6.25,0,0,0,1.81,51,6.21
2011,3,6.21,0,0,1,1.72,50,6.15
2011,2,6.15,0,1,0,1.73,49,5.88
2011,1,5.88,1,0,0,1.68,48,5.8
2010,4,5.8,0,0,0,1.55,47,5.81
2010,3,5.81,0,0,1,1.55,46,5.77
2010,2,5.77,0,1,0,1.69,45,5.72
2010,1,5.72,1,0,0,1.51,44,5.76
2009,4,5.76,0,0,0,1.43,43,5.96
2009,3,5.96,0,0,1,1.57,42,5.93
2009,2,5.93,0,1,0,1.78,41,5.74
2009,1,5.74,1,0,0,1.73,40,5.68
2008,4,5.68,0,0,0,1.76,39,5.64
2008,3,5.64,0,0,1,1.75,38,5.43
2008,2,5.43,0,1,0,1.64,37,5.38
2008,1,5.38,1,0,0,1.53,36,5.4
2007,4,5.4,0,0,0,1.47,35,5.52
2007,3,5.52,0,0,1,1.62,34,5.57
2007,2,5.57,0,1,0,1.85,33,5.33
2007,1,5.33,1,0,0,1.76,32,5.32
2006,4,5.32,0,0,0,1.61,31,5.32
2006,3,5.32,0,0,1,1.71,30,5.21
2006,2,5.21,0,1,0,1.7,29,5.2
2006,1,5.2,1,0,0,1.73,28,5.22
2005,4,5.22,0,0,0,1.72,27,5.25
2005,3,5.25,0,0,1,1.64,26,5.31
2005,2,5.31,0,1,0,1.78,25,5.29
2005,1,5.29,1,0,0,1.71,24,5.22
2004,4,5.22,0,0,0,1.63,23,5.42
2004,3,5.42,0,0,1,1.74,22,5.21
2004,2,5.21,0,1,0,1.85,21,4.99
2004,1,4.99,1,0,0,1.69,20,4.98
2003,4,4.98,0,0,0,1.87,19,4.8
2003,3,4.8,0,0,1,1.6,18,5.23
2003,2,5.23,0,1,0,1.93,17,5.15
2003,1,5.15,1,0,0,2.02,16,4.96
2002,4,4.96,0,0,0,1.9,15,4.99
2002,3,4.99,0,0,1,1.8,14,5.02
2002,2,5.02,0,1,0,1.87,13,4.91
2002,1,4.91,1,0,0,1.94,12,4.81
2001,4,4.81,0,0,0,1.86,11,4.91
2001,3,4.91,0,0,1,1.92,10,4.99
2001,2,4.99,0,1,0,2.07,9,4.66
2001,1,4.66,1,0,0,2.06,8,4.29
2000,4,4.29,0,0,0,1.89,7,4.29
2000,3,4.29,0,0,1,1.72,6,4.19
2000,2,4.19,0,1,0,1.91,5,3.95
2000,1,3.95,1,0,0,1.74,4,3.86
1999,4,3.86,0,0,0,1.81,3,3.89
1999,3,3.89,0,0,1,1.75,2,3.84
1999,2,3.84,0,1,0,1.7,1,3.74
