Year,Quarter,Early Wean (²7kg) - Q Supplied -> = sow and bred gilt num * average litter size * pre-wean survival rate * litter per quarter,Q1,Q2,Q3,Rail Grade Price (t-4),Trend,D2012Q2,D2012Q4,Sow and Bred Gilt (t-2),Quantity Supplied (t-1),sow and bred gilt num (OMAFRA), average litter size (static OMAF avg from enterprise budget),pre-wean survival rate (static OMAF avg from enterprise budget),Litters per year,litters per quarter (litters per year / 4)
2012,4,,0,0,0,129.28,48,0,1,5500,,,,,,
2012,3,,0,0,1,126.76,47,0,0,5200,31989,,,,,
2012,2,31989,0,1,0,127.48,46,1,0,5500,30245,5500,11.25,0.88,2.35,0.5875
2012,1,30245,1,0,0,132.75,45,0,0,5500,31989,5200,11.25,0.88,2.35,0.5875
2011,4,31989,0,0,0,126.18,44,0,0,5500,31989,5500,11.25,0.88,2.35,0.5875
2011,3,31989,0,0,1,116.78,43,0,0,5000,31989,5500,11.25,0.88,2.35,0.5875
2011,2,31989,0,1,0,114.46,42,0,0,6100,29081,5500,11.25,0.88,2.35,0.5875
2011,1,29081,1,0,0,110.44,41,0,0,6600,35479,5000,11.25,0.88,2.35,0.5875
2010,4,35479,0,0,0,108.77,40,0,0,6500,38387,6100,11.25,0.88,2.35,0.5875
2010,3,38387,0,0,1,114.85,39,0,0,6300,37806,6600,11.25,0.88,2.35,0.5875
2010,2,37806,0,1,0,116.33,38,0,0,7000,36642,6500,11.25,0.88,2.35,0.5875
2010,1,36642,1,0,0,107.35,37,0,0,7100,40714,6300,11.25,0.88,2.35,0.5875
2009,4,40714,0,0,0,99.19,36,0,0,7300,41295,7000,11.25,0.88,2.35,0.5875
2009,3,41295,0,0,1,103.3,35,0,0,6900,42459,7100,11.25,0.88,2.35,0.5875
2009,2,42459,0,1,0,107.97,34,0,0,7100,40132,7300,11.25,0.88,2.35,0.5875
2009,1,40132,1,0,0,107.05,33,0,0,7300,41295,6900,11.25,0.88,2.35,0.5875
2008,4,41295,0,0,0,111.52,32,0,0,7500,42459,7100,11.25,0.88,2.35,0.5875
2008,3,42459,0,0,1,118.79,31,0,0,7800,43622,7300,11.25,0.88,2.35,0.5875
2008,2,43622,0,1,0,121.4,30,0,0,8400,45367,7500,11.25,0.88,2.35,0.5875
2008,1,45367,1,0,0,116.52,29,0,0,8800,48857,7800,11.25,0.88,2.35,0.5875
2007,4,48857,0,0,0,123.71,28,0,0,9000,51183,8400,11.25,0.88,2.35,0.5875
2007,3,51183,0,0,1,135.74,27,0,0,8800,52346,8800,11.25,0.88,2.35,0.5875
2007,2,52346,0,1,0,136.59,26,0,0,9000,51183,9000,11.25,0.88,2.35,0.5875
2007,1,51183,1,0,0,143.57,25,0,0,9100,52346,8800,11.25,0.88,2.35,0.5875
2006,4,52346,0,0,0,139.97,24,0,0,9200,52928,9000,11.25,0.88,2.35,0.5875
2006,3,52928,0,0,1,134.25,23,0,0,9400,53510,9100,11.25,0.88,2.35,0.5875
2006,2,53510,0,1,0,120.96,22,0,0,9600,54673,9200,11.25,0.88,2.35,0.5875
2006,1,54673,1,0,0,123.36,21,0,0,9800,55836,9400,11.25,0.88,2.35,0.5875
2005,4,55836,0,0,0,114.89,20,0,0,10000,56999,9600,11.25,0.88,2.35,0.5875
2005,3,56999,0,0,1,102.08,19,0,0,10200,58163,9800,11.25,0.88,2.35,0.5875
2005,2,58163,0,1,0,115.24,18,0,0,10300,59326,10000,11.25,0.88,2.35,0.5875
2005,1,59326,1,0,0,108.92,17,0,0,10600,59907,10200,11.25,0.88,2.35,0.5875
2004,4,59907,0,0,0,135.75,16,0,0,11000,61652,10300,11.25,0.88,2.35,0.5875
2004,3,61652,0,0,1,135.18,15,0,0,11500,63979,10600,11.25,0.88,2.35,0.5875
2004,2,63979,0,1,0,142.19,14,0,0,11500,66887,11000,11.25,0.88,2.35,0.5875
2004,1,66887,1,0,0,142.97,13,0,0,11700,66887,11500,11.25,0.88,2.35,0.5875
2003,4,66887,0,0,0,138.63,12,0,0,12000,68050,11500,11.25,0.88,2.35,0.5875
2003,3,68050,0,0,1,136.33,11,0,0,12100,69795,11700,11.25,0.88,2.35,0.5875
2003,2,69795,0,1,0,149.08,10,0,0,12700,70377,12000,11.25,0.88,2.35,0.5875
2003,1,70377,1,0,0,148.13,9,0,0,12700,73866,12100,11.25,0.88,2.35,0.5875
2002,4,73866,0,0,0,148.98,8,0,0,12900,73866,12700,11.25,0.88,2.35,0.5875
2002,3,73866,0,0,1,161.63,7,0,0,12900,75030,12700,11.25,0.88,2.35,0.5875
2002,2,75030,0,1,0,154.84,6,0,0,12700,75030,12900,11.25,0.88,2.35,0.5875
2002,1,75030,1,0,0,164.14,5,0,0,12600,73866,12900,11.25,0.88,2.35,0.5875
2001,4,73866,0,0,0,167.46,4,0,0,13200,73285,12700,11.25,0.88,2.35,0.5875
2001,3,73285,0,0,1,164.39,3,0,0,13300,76775,12600,11.25,0.88,2.35,0.5875
2001,2,76775,0,1,0,159.09,2,0,0,13300,77356,13200,11.25,0.88,2.35,0.5875
2001,1,77356,1,0,0,163.6,1,0,0,13500,77356,13300,11.25,0.88,2.35,0.5875
,,77356,,,,,,,,,,13300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,13500,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,13700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,13600,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,13900,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,13900,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,14000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,14300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,14700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15500,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,15900,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,16200,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,16600,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,17300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,17700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,17800,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,17900,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,18500,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,18700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,18900,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19500,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19700,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19800,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20200,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20500,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20400,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20400,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20300,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19800,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,19600,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,20000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,21000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,21000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,21000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,21000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,24000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,24000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,24000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,24000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,24000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,23000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,21000,11.25,0.88,2.35,0.5875
,,,,,,,,,,,,22000,11.25,0.88,2.35,0.5875
