Year,Quarter,Supply of Stockers,Q1,Q2,Q3,Avg. Rail Grade Feeder Price ($/100 lbs.)  (t-2),Avg. Rail Grade Calf Price ($/100 lbs.) (t-2),D2012Q4,Supply (t-1)
2012,4,2794,0,0,0,115.23,145.63,1,18638
2012,3,18638,0,0,1,114.91,145.11,0,147491
2012,2,147491,0,1,0,107.49,129.28,0,43402
2012,1,43402,1,0,0,107.11,126.76,0,11719
2011,4,11719,0,0,0,102.08,127.48,0,28320
2011,3,28320,0,0,1,108.17,132.75,0,144017
2011,2,144017,0,1,0,106.92,126.18,0,36565
2011,1,36565,1,0,0,101.63,116.78,0,9177
2010,4,9177,0,0,0,94.97,114.46,0,27961
2010,3,27961,0,0,1,93.96,110.44,0,149605
2010,2,149605,0,1,0,95.99,108.77,0,44779
2010,1,44779,1,0,0,102.79,114.85,0,17072
2009,4,17072,0,0,0,98.5,116.33,0,39374
2009,3,39374,0,0,1,93.74,107.35,0,146753
2009,2,146753,0,1,0,92.15,99.19,0,43957
2009,1,43957,1,0,0,98.14,103.3,0,20244
2008,4,20244,0,0,0,94.77,107.97,0,44596
2008,3,44596,0,0,1,93.07,107.05,0,148269
2008,2,148269,0,1,0,100.18,111.52,0,46566
2008,1,46566,1,0,0,104.75,118.79,0,18218
2007,4,18218,0,0,0,100.46,121.4,0,42694
2007,3,42694,0,0,1,100.24,116.52,0,155891
2007,2,155891,0,1,0,107.7,123.71,0,48899
2007,1,48899,1,0,0,117.13,135.74,0,20608
2006,4,20608,0,0,0,108.24,136.59,0,42853
2006,3,42853,0,0,1,115.67,143.57,0,163343
2006,2,163343,0,1,0,122.6,139.97,0,39342
2006,1,39342,1,0,0,118.07,134.25,0,28538
2005,4,28538,0,0,0,98.2,120.96,0,37120
2005,3,37120,0,0,1,102.21,123.36,0,109373
2005,2,109373,0,1,0,102.74,114.89,0,97263
2005,1,97263,1,0,0,90.51,102.08,0,15274
2004,4,15274,0,0,0,94.71,115.24,0,26877
2004,3,26877,0,0,1,90.92,108.92,0,171803
2004,2,171803,0,1,0,121.55,135.75,0,71726
2004,1,71726,1,0,0,117.95,135.18,0,9092
2003,4,9092,0,0,0,112.68,142.19,0,28848
2003,3,28848,0,0,1,118.4,142.97,0,159452
2003,2,159452,0,1,0,128.59,138.63,0,74536
2003,1,74536,1,0,0,120.7,136.33,0,14594
2002,4,14594,0,0,0,118.32,149.08,0,24602
2002,3,24602,0,0,1,119.45,148.13,0,132600
2002,2,132600,0,1,0,127.43,148.98,0,89048
2002,1,89048,1,0,0,133.07,161.63,0,11605
2001,4,11605,0,0,0,118.09,154.84,0,36364
2001,3,36364,0,0,1,123.63,164.14,0,119149
2001,2,119149,0,1,0,132.3,167.46,0,99033
