Year,Quarter,Supply of Heifers,Q1,Q2,Q3,Heifer Price ($/100 lbs.) (t-2),Feeder Heifer Rail Grade Price ($/100 lbs.) (t-2),Ont. Corn Price ($/Bushel) (t-2),D03Q4,D2008Q12,D2010Q2,D2012Q34
2012,4,35214,0,0,0,93.64,115.61,3.1,0,0,0,1
2012,3,35536,0,0,1,95.17,113.86,3.32,0,0,0,1
2012,2,49829,0,1,0,87.58,107.1,3.45,0,0,0,0
2012,1,48009,1,0,0,85.36,106.46,4.04,0,0,0,0
2011,4,41334,0,0,0,87.92,102.86,3.79,0,0,0,0
2011,3,44423,0,0,1,87.26,106.88,3.58,0,0,0,0
2011,2,57698,0,1,0,83.83,106.64,3.57,0,0,0,0
2011,1,58802,1,0,0,82,100.74,2.83,0,0,0,0
2010,4,47403,0,0,0,83.35,94.82,3.25,0,0,0,0
2010,3,48728,0,0,1,78.79,92.52,3.19,0,0,0,0
2010,2,63160,0,1,0,76.85,94.22,3.24,0,0,1,0
2010,1,54091,1,0,0,82.85,102.02,3.25,0,0,0,0
2009,4,46029,0,0,0,88.97,98.47,3.26,0,0,0,0
2009,3,43826,0,0,1,88.54,91.66,3.14,0,0,0,0
2009,2,55022,0,1,0,84.38,89.48,2.84,0,0,0,0
2009,1,55736,1,0,0,84.63,96.28,4.02,0,0,0,0
2008,4,51464,0,0,0,83.88,93.63,3.5,0,0,0,0
2008,3,49235,0,0,1,82.71,91.34,3.27,0,0,0,0
2008,2,63820,0,1,0,77.58,97.92,3.29,0,1,0,0
2008,1,63810,1,0,0,84.54,103.6,2.72,0,1,0,0
2007,4,46851,0,0,0,94.97,100.37,3.26,0,0,0,0
2007,3,40977,0,0,1,90.97,98.76,3.47,0,0,0,0
2007,2,55966,0,1,0,87,106.58,3.42,0,0,0,0
2007,1,58688,1,0,0,87.38,117.03,3.06,0,0,0,0
2006,4,45919,0,0,0,90.35,109.36,3.02,0,0,0,0
2006,3,46142,0,0,1,95.12,115.74,3.15,0,0,0,0
2006,2,56793,0,1,0,92.14,121.97,3.3,0,0,0,0
2006,1,51373,1,0,0,88.66,117.82,2.75,0,0,0,0
2005,4,51459,0,0,0,83.04,98.67,3.15,0,0,0,0
2005,3,46439,0,0,1,84.57,101.58,2.94,0,0,0,0
2005,2,56062,0,1,0,75.96,100.77,2.59,0,0,0,0
2005,1,50875,1,0,0,70.29,90.35,3.37,0,0,0,0
2004,4,53379,0,0,0,77.66,94.43,3.15,0,0,0,0
2004,3,53391,0,0,1,82.59,89.32,3.21,0,0,0,0
2004,2,50432,0,1,0,84.63,120.98,3.07,0,0,0,0
2004,1,50531,1,0,0,57.26,118.61,3.11,0,0,0,0
2003,4,38120,0,0,0,95.42,115.04,3.03,1,0,0,0
2003,3,46627,0,0,1,106.63,118.59,3.12,0,0,0,0
2003,2,40289,0,1,0,101.73,129.19,3.24,0,0,0,0
2003,1,55930,1,0,0,100.2,121.07,3.1,0,0,0,0
2002,4,39795,0,0,0,105.27,120.59,3.28,0,0,0,0
2002,3,41729,0,0,1,106.63,120.34,3.27,0,0,0,0
2002,2,44462,0,1,0,97.48,129.62,3.47,0,0,0,0
2002,1,52576,1,0,0,101.63,135.02,3.06,0,0,0,0
2001,4,50603,0,0,0,107.1,119.52,3.34,0,0,0,0
2001,3,43735,0,0,1,111.22,124.47,3.43,0,0,0,0
2001,2,43870,0,1,0,102.39,132.7,3.32,0,0,0,0
2001,1,57490,1,0,0,98.9,125.87,3.41,0,0,0,0
2000,4,51661,0,0,0,103.53,120.05,3.22,0,0,0,0
2000,3,55708,0,0,1,104.6,122,2.68,0,0,0,0
2000,2,51292,0,1,0,102.17,123.05,3.19,0,0,0,0
