Year,Quarter,Supply of Steers,Q1,Q2,Q3,Steer Price ($/100 lbs.) (t-1),Rail Grade Feeder Steer Price ($/100 lbs.) (t-1),Ont. Corn Price ($/Bushel) (t-2),D2000Q2,D2001Q12,D0405,D1112,Steers(t-1)
2012,4,97173,0,0,0,92.71,118.22,3.1,0,0,0,1,95557
2012,3,95557,0,0,1,95.01,114.85,3.32,0,0,0,1,77766
2012,2,77766,0,1,0,96.82,115.97,3.45,0,0,0,1,80659
2012,1,80659,1,0,0,89.86,107.89,4.04,0,0,0,1,93746
2011,4,93746,0,0,0,87.86,107.77,3.79,0,0,0,1,99092
2011,3,99092,0,0,1,89.02,101.29,3.58,0,0,0,1,84550
2011,2,84550,0,1,0,88.53,109.47,3.57,0,0,0,1,88779
2011,1,88779,1,0,0,85.69,107.2,2.83,0,0,0,1,106681
2010,4,106681,0,0,0,84.29,102.52,3.25,0,0,0,0,105568
2010,3,105568,0,0,1,83.97,95.11,3.19,0,0,0,0,101206
2010,2,101206,0,1,0,79.25,95.4,3.24,0,0,0,0,100265
2010,1,100265,1,0,0,77.71,97.75,3.25,0,0,0,0,108334
2009,4,108334,0,0,0,84.57,103.56,3.26,0,0,0,0,104415
2009,3,104415,0,0,1,90.03,98.53,3.14,0,0,0,0,87092
2009,2,87092,0,1,0,90.03,95.82,2.84,0,0,0,0,93579
2009,1,93579,1,0,0,86.35,94.82,4.02,0,0,0,0,110814
2008,4,110814,0,0,0,86.41,100,3.5,0,0,0,0,111491
2008,3,111491,0,0,1,84.25,95.91,3.27,0,0,0,0,97769
2008,2,97769,0,1,0,82.06,94.81,3.29,0,0,0,0,110581
2008,1,110581,1,0,0,78.02,102.45,2.72,0,0,0,0,104461
2007,4,104461,0,0,0,86.7,105.89,3.26,0,0,0,0,96472
2007,3,96472,0,0,1,96.91,100.55,3.47,0,0,0,0,100179
2007,2,100179,0,1,0,92.04,101.72,3.42,0,0,0,0,112446
2007,1,112446,1,0,0,88.41,108.82,3.06,0,0,0,0,104544
2006,4,104544,0,0,0,89.94,117.24,3.02,0,0,0,0,117237
2006,3,117237,0,0,1,92.98,107.13,3.15,0,0,0,0,101735
2006,2,101735,0,1,0,96.84,115.59,3.3,0,0,0,0,97676
2006,1,97676,1,0,0,94.62,123.23,2.75,0,0,0,0,122680
2005,4,122680,0,0,0,92.18,118.32,3.15,0,0,1,0,117327
2005,3,117327,0,0,1,86.8,97.74,2.94,0,0,1,0,103942
2005,2,103942,0,1,0,86.69,102.84,2.59,0,0,1,0,101786
2005,1,101786,1,0,0,78.31,104.71,3.37,0,0,1,0,114599
2004,4,114599,0,0,0,74.52,90.67,3.15,0,0,1,0,122805
2004,3,122805,0,0,1,80.8,94.99,3.21,0,0,1,0,104132
2004,2,104132,0,1,0,84.12,92.53,3.07,0,0,1,0,105240
2004,1,105240,1,0,0,86.22,122.13,3.11,0,0,1,0,101762
2003,4,101762,0,0,0,58.33,117.29,3.03,0,0,0,0,104734
2003,3,104734,0,0,1,96.88,110.33,3.12,0,0,0,0,96820
2003,2,96820,0,1,0,106.86,118.22,3.24,0,0,0,0,107895
2003,1,107895,1,0,0,102.86,127.98,3.1,0,0,0,0,112561
2002,4,112561,0,0,0,101.66,120.33,3.28,0,0,0,0,107089
2002,3,107089,0,0,1,107.22,116.05,3.27,0,0,0,0,89670
2002,2,89670,0,1,0,107.1,118.55,3.47,0,0,0,0,94273
2002,1,94273,1,0,0,98.58,125.24,3.06,0,0,0,0,104988
2001,4,104988,0,0,0,103.35,131.11,3.34,0,0,0,0,101065
2001,3,101065,0,0,1,109.28,116.67,3.43,0,0,0,0,83311
2001,2,83311,0,1,0,112.06,122.79,3.32,0,1,0,0,80567
2001,1,80567,1,0,0,102.88,131.89,3.41,0,1,0,0,110114
2000,4,110114,0,0,0,100.26,126.34,3.22,0,0,0,0,107138
2000,3,107138,0,0,1,106.52,118.31,2.68,0,0,0,0,71653
2000,2,71653,0,1,0,106.09,122.57,3.19,1,0,0,0,77980
