Year,Quarter,Exports to US,Q1,Q2,Q3,US-Ont. Retail Beef Price Spread ($/lbs.),Fed Price,D2003Q2,D2003Q3,D07Q409Q1,Trend,Exports to U.S. (t-1)
2012,4,27366409.26,0,0,0,-1.820059598,91.10751622,0,0,0,72,26294010.67
2012,3,26294010.67,0,0,1,-1.996347377,91.32742173,0,0,0,71,28034151.18
2012,2,28034151.18,0,1,0,-1.80382753,94.32340395,0,0,0,70,31071139
2012,1,31071139,1,0,0,-1.688812409,95.99617386,0,0,0,69,31168821.12
2011,4,31168821.12,0,0,0,-1.340770658,88.72118797,0,0,0,68,28993901.13
2011,3,28993901.13,0,0,1,-1.716981441,86.61191736,0,0,0,67,32807889.24
2011,2,32807889.24,0,1,0,-1.747250771,88.4693981,0,0,0,66,32778600.94
2011,1,32778600.94,1,0,0,-1.519804426,87.89493458,0,0,0,65,34935630.23
2010,4,34935630.23,0,0,0,-1.512367034,84.75779369,0,0,0,64,36084380.26
2010,3,36084380.26,0,0,1,-1.410631355,83.14255811,0,0,0,63,41346098.01
2010,2,41346098.01,0,1,0,-1.342352568,83.65702418,0,0,0,62,37917543.42
2010,1,37917543.42,1,0,0,-1.518178459,79.02146955,0,0,0,61,36486311.47
2009,4,36486311.47,0,0,0,-1.358057434,77.28023656,0,0,0,60,31877793.28
2009,3,31877793.28,0,0,1,-1.349978767,83.7110737,0,0,0,59,26104951.32
2009,2,26104951.32,0,1,0,-0.875375731,89.50040577,0,0,0,58,16664313.59
2009,1,16664313.59,1,0,0,-0.435989812,89.28676164,0,0,1,57,19105565.54
2008,4,19105565.54,0,0,0,-0.397615987,85.36338049,0,0,1,56,20682875.39
2008,3,20682875.39,0,0,1,-0.940763207,85.51704254,0,0,1,55,22123697.12
2008,2,22123697.12,0,1,0,-1.191528777,84.06690408,0,0,1,54,18127830.64
2008,1,18127830.64,1,0,0,-1.166316994,82.38712502,0,0,1,53,16177598.75
2007,4,16177598.75,0,0,0,-1.241492056,77.79757321,0,0,1,52,29997451.02
2007,3,29997451.02,0,0,1,-0.889866894,85.62098363,0,0,0,51,40991196.41
2007,2,40991196.41,0,1,0,-0.60204958,95.94154358,0,0,0,50,47571035.69
2007,1,47571035.69,1,0,0,-0.327833832,91.50866489,0,0,0,49,42564136.91
2006,4,42564136.91,0,0,0,-0.507427806,87.70683066,0,0,0,48,39021109.62
2006,3,39021109.62,0,0,1,-0.530668545,88.6637603,0,0,0,47,43073690.09
2006,2,43073690.09,0,1,0,-0.429425714,91.66626526,0,0,0,46,42070032.58
2006,1,42070032.58,1,0,0,-0.212234149,95.97885195,0,0,0,45,42968228.57
2005,4,42968228.57,0,0,0,-0.09598715,93.37980338,0,0,0,44,41848122.86
2005,3,41848122.86,0,0,1,-0.008855948,90.42000001,0,0,0,43,38863831.71
2005,2,38863831.71,0,1,0,0.340593865,84.91935488,0,0,0,42,38704531.73
2005,1,38704531.73,1,0,0,0.188431203,85.6299207,0,0,0,41,38791233.95
2004,4,38791233.95,0,0,0,0.235372437,77.13667659,0,0,0,40,38382185.48
2004,3,38382185.48,0,0,1,0.520658458,72.403875,0,0,0,39,40794226.01
2004,2,40794226.01,0,1,0,0.755961092,79.22885728,0,0,0,38,42659502.54
2004,1,42659502.54,1,0,0,0.647688489,83.35898293,0,0,0,37,47600456.05
2003,4,47600456.05,0,0,0,0.979458977,85.42503084,0,0,0,36,6816066.405
2003,3,6816066.405,0,0,1,0.711840293,57.79775187,0,1,0,35,24670879.29
2003,2,24670879.29,0,1,0,0.413494746,96.15292685,1,0,0,34,43139608.77
2003,1,43139608.77,1,0,0,0.501104609,106.747507,0,0,0,33,41615710.49
2002,4,41615710.49,0,0,0,0.62269474,102.2973047,0,0,0,32,40661871.78
2002,3,40661871.78,0,0,1,0.592200993,100.927197,0,0,0,31,39795615.07
2002,2,39795615.07,0,1,0,0.599652862,106.2427544,0,0,0,30,39567446.5
2002,1,39567446.5,1,0,0,0.786402277,106.8625161,0,0,0,29,37083573.99
2001,4,37083573.99,0,0,0,0.876426119,98.03093518,0,0,0,28,34078063.63
2001,3,34078063.63,0,0,1,0.921830045,102.4926303,0,0,0,27,29540882.81
2001,2,29540882.81,0,1,0,0.876421375,108.1893293,0,0,0,26,30505131.7
2001,1,30505131.7,1,0,0,0.885108119,111.6375,0,0,0,25,32014133.66
2000,4,32014133.66,0,0,0,0.923827461,102.6315789,0,0,0,24,33933708.52
2000,3,33933708.52,0,0,1,0.828735423,99.5776062,0,0,0,23,30194062.89
2000,2,30194062.89,0,1,0,0.915518,105.0231549,0,0,0,22,35253206.94
2000,1,35253206.94,1,0,0,0.844191013,105.3414159,0,0,0,21,35481289.88
1999,4,35481289.88,0,0,0,0.986093765,102.9978947,0,0,0,20,36193368.16
1999,3,36193368.16,0,0,1,0.921278395,98.91986303,0,0,0,19,32051628.46
1999,2,32051628.46,0,1,0,0.859333902,101.3637066,0,0,0,18,30245417.4
1999,1,30245417.4,1,0,0,0.922122267,103.4073529,0,0,0,17,30888277.16
1998,4,30888277.16,0,0,0,1.000713468,98.9030649,0,0,0,16,26782397.5
1998,3,26782397.5,0,0,1,0.938011189,95.37899052,0,0,0,15,28565635.86
1998,2,28565635.86,0,1,0,0.837440456,95.88096326,0,0,0,14,29069596.73
1998,1,29069596.73,1,0,0,0.769328095,96.97862293,0,0,0,13,30112827.75
1997,4,30112827.75,0,0,0,0.851348764,91.24036118,0,0,0,12,26976714.61
1997,3,26976714.61,0,0,1,0.820683417,92.5564865,0,0,0,11,27197766.12
1997,2,27197766.12,0,1,0,0.820920244,89.96037899,0,0,0,10,28729247.83
1997,1,28729247.83,1,0,0,0.817010319,90.3709188,0,0,0,9,27104919.48
1996,4,27104919.48,0,0,0,0.869211795,87.57467019,0,0,0,8,24299624.85
1996,3,24299624.85,0,0,1,0.886863502,87.32207801,0,0,0,7,22238143.32
1996,2,22238143.32,0,1,0,0.78445706,83.71625658,0,0,0,6,23095822.15
1996,1,23095822.15,1,0,0,0.791164192,86.76304056,0,0,0,5,23660262.95
1995,4,23660262.95,0,0,0,0.828231073,93.72266125,0,0,0,4,21937999.54
1995,3,21937999.54,0,0,1,0.787910849,94.35375003,0,0,0,2,17906158.64
1995,2,17906158.64,0,1,0,0.804175809,98.52501625,0,0,0,1,20128270.75
