Year,Quarter,Exports of Slaughter Bulls,Q1,Q2,Q3,US-Ont. Bull Price Spread ($USD/100 lbs.),US Diesel Price ($USD/gallon),DBSE,D2000,D2008Q23,Exports of Slaughter Bulls (t-1)
2012,4,414,0,0,0,0.227,2.67,0,0,0,529
2012,3,529,0,0,1,-4.078,2.68,0,0,0,281
2012,2,281,0,1,0,-8.286,2.64,0,0,0,144
2012,1,144,1,0,0,-6.724,2.65,0,0,0,169
2011,4,169,0,0,0,-8.385,2.66,0,0,0,128
2011,3,128,0,0,1,-16.174,2.64,0,0,0,232
2011,2,232,0,1,0,-15.212,2.64,0,0,0,123
2011,1,123,1,0,0,-6.215,2.69,0,0,0,117
2010,4,117,0,0,0,-0.849,2.66,0,0,0,139
2010,3,139,0,0,1,-2.263,2.66,0,0,0,327
2010,2,327,0,1,0,-1.908,2.66,0,0,0,246
2010,1,246,1,0,0,-0.093,2.64,0,0,0,364
2009,4,364,0,0,0,4.767,2.63,0,0,0,266
2009,3,266,0,0,1,2.828,2.64,0,0,0,304
2009,2,304,0,1,0,2.902,2.62,0,0,0,195
2009,1,195,1,0,0,7.168,2.54,0,0,0,406
2008,4,406,0,0,0,2.082,2.54,0,0,0,472
2008,3,472,0,0,1,-9.019,2.6,0,0,1,636
2008,2,636,0,1,0,-0.275,2.64,0,0,1,251
2008,1,251,1,0,0,5.653,2.63,0,0,0,62
2007,4,62,0,0,0,13.44,2.64,1,0,0,0
2007,3,0,0,0,1,19.733,2.63,1,0,0,0
2007,2,0,0,1,0,15.8,2.59,1,0,0,0
2007,1,0,1,0,0,27.352,2.56,1,0,0,0
2006,4,0,0,0,0,27.576,2.56,1,0,0,0
2006,3,0,0,0,1,19.676,2.6,1,0,0,0
2006,2,0,0,1,0,29.643,2.59,1,0,0,0
2006,1,0,1,0,0,33.671,2.55,1,0,0,0
2005,4,0,0,0,0,33.024,2.54,1,0,0,0
2005,3,0,0,0,1,33.932,2.56,1,0,0,0
2005,2,0,0,1,0,42.524,2.54,1,0,0,0
2005,1,0,1,0,0,41.333,2.56,1,0,0,0
2004,4,0,0,0,0,48.181,2.56,1,0,0,0
2004,3,0,0,0,1,48.29,2.55,1,0,0,0
2004,2,0,0,1,0,42.353,2.47,1,0,0,0
2004,1,0,1,0,0,46.217,2.5,1,0,0,0
2003,4,0,0,0,0,40.634,2.5,1,0,0,0
2003,3,0,0,0,1,38.879,2.45,1,0,0,354
2003,2,354,0,1,0,12.916,2.37,0,0,0,457
2003,1,457,1,0,0,8.329,2.51,0,0,0,507
2002,4,507,0,0,0,13.277,2.52,0,0,0,404
2002,3,404,0,0,1,14.589,2.5,0,0,0,645
2002,2,645,0,1,0,12.396,2.45,0,0,0,517
2002,1,517,1,0,0,12.718,2.42,0,0,0,634
2001,4,634,0,0,0,20.994,2.39,0,0,0,332
2001,3,332,0,0,1,12.362,2.49,0,0,0,584
2001,2,584,0,1,0,10.352,2.48,0,0,0,365
2001,1,365,1,0,0,10.422,2.45,0,0,0,227
2000,4,227,0,0,0,13.323,2.54,0,1,0,111
2000,3,111,0,0,1,14.014,2.57,0,1,0,120
2000,2,120,0,1,0,10.52,2.5,0,1,0,112
