Year,Quarter,Exports of Slaughter Cow,Q1,Q2,Q3,US-Ont. Cow Spread ($/100 lbs.),US Diesel Price ($USD/gallon),DBSE,D2003Q1,D2007Q4,Exports of Slaughter Cow (t-1)
2012,4,4546,0,0,0,-3.94,2.67,0,0,0,1942
2012,3,1942,0,0,1,-7.37,2.68,0,0,0,3473
2012,2,3473,0,1,0,-12.06,2.64,0,0,0,4116
2012,1,4116,1,0,0,-11.09,2.65,0,0,0,7678
2011,4,7678,0,0,0,-9.66,2.66,0,0,0,6205
2011,3,6205,0,0,1,-13.98,2.64,0,0,0,7982
2011,2,7982,0,1,0,-13.43,2.64,0,0,0,14983
2011,1,14983,1,0,0,-9.1,2.69,0,0,0,16166
2010,4,16166,0,0,0,-1.28,2.66,0,0,0,10062
2010,3,10062,0,0,1,-2.76,2.66,0,0,0,13559
2010,2,13559,0,1,0,-3.22,2.66,0,0,0,19914
2010,1,19914,1,0,0,-0.52,2.64,0,0,0,17600
2009,4,17600,0,0,0,5.52,2.63,0,0,0,8014
2009,3,8014,0,0,1,2.63,2.64,0,0,0,10262
2009,2,10262,0,1,0,2.6,2.62,0,0,0,13929
2009,1,13929,1,0,0,4.76,2.54,0,0,0,14150
2008,4,14150,0,0,0,3.94,2.54,0,0,0,9297
2008,3,9297,0,0,1,-5.88,2.6,0,0,0,16653
2008,2,16653,0,1,0,-3.02,2.64,0,0,0,14863
2008,1,14863,1,0,0,1.58,2.63,0,0,0,3342
2007,4,3342,0,0,0,5.56,2.64,0,0,1,0
2007,3,0,0,0,1,6.84,2.63,1,0,0,0
2007,2,0,0,1,0,2.99,2.59,1,0,0,0
2007,1,0,1,0,0,11.52,2.56,1,0,0,0
2006,4,0,0,0,0,12.09,2.56,1,0,0,0
2006,3,0,0,0,1,7.49,2.6,1,0,0,0
2006,2,0,0,1,0,15.19,2.59,1,0,0,0
2006,1,0,1,0,0,18.69,2.55,1,0,0,0
2005,4,0,0,0,0,19.12,2.54,1,0,0,0
2005,3,0,0,0,1,16.27,2.56,1,0,0,0
2005,2,0,0,1,0,28.14,2.54,1,0,0,0
2005,1,0,1,0,0,27.49,2.56,1,0,0,0
2004,4,0,0,0,0,31.61,2.56,1,0,0,0
2004,3,0,0,0,1,33.66,2.55,1,0,0,0
2004,2,0,0,1,0,30.06,2.47,1,0,0,0
2004,1,0,1,0,0,31.83,2.5,1,0,0,0
2003,4,0,0,0,0,31.3,2.5,1,0,0,0
2003,3,0,0,0,1,31.22,2.45,1,0,0,16300
2003,2,16300,0,1,0,7.11,2.37,0,0,0,35663
2003,1,35663,1,0,0,3.08,2.51,0,1,0,27780
2002,4,27780,0,0,0,7.83,2.52,0,0,0,21913
2002,3,21913,0,0,1,9.45,2.5,0,0,0,28136
2002,2,28136,0,1,0,9.45,2.45,0,0,0,24411
2002,1,24411,1,0,0,8.59,2.42,0,0,0,24819
2001,4,24819,0,0,0,12.3,2.39,0,0,0,16954
2001,3,16954,0,0,1,6.59,2.49,0,0,0,20197
2001,2,20197,0,1,0,3.81,2.48,0,0,0,24398
2001,1,24398,1,0,0,5.24,2.45,0,0,0,21413
2000,4,21413,0,0,0,4.03,2.54,0,0,0,12237
2000,3,12237,0,0,1,4.69,2.57,0,0,0,19079
2000,2,19079,0,1,0,3.57,2.5,0,0,0,20522
