Year,Quarter,Exporter Fed Heifers,Q1,Q2,Q3,US-Ont. Heifer Price Spread ($USD/100 lbs.),BSE,D0506,D2008Q1,D2012Q3,Exports Heifers (t-1)
2012,4,4546,0,0,0,-5.374583262,0,0,0,0,1942
2012,3,1942,0,0,1,-7.651343144,0,0,0,1,3473
2012,2,3473,0,1,0,-11.56486302,0,0,0,0,4116
2012,1,4116,1,0,0,-12.38243931,0,0,0,0,7863
2011,4,7863,0,0,0,1.308893351,0,0,0,0,5114
2011,3,5114,0,0,1,-5.133463239,0,0,0,0,7371
2011,2,7371,0,1,0,-9.802586339,0,0,0,0,7707
2011,1,7707,1,0,0,-4.712186302,0,0,0,0,7686
2010,4,7686,0,0,0,5.589403362,0,0,0,0,4174
2010,3,4174,0,0,1,3.497981193,0,0,0,0,8487
2010,2,8487,0,1,0,0.971239357,0,0,0,0,9692
2010,1,9692,1,0,0,9.135222903,0,0,0,0,11211
2009,4,11211,0,0,0,15.93767664,0,0,0,0,5409
2009,3,5409,0,0,1,13.02401356,0,0,0,0,4820
2009,2,4820,0,1,0,10.05106158,0,0,0,0,6977
2009,1,6977,1,0,0,15.36781383,0,0,0,0,8490
2008,4,8490,0,0,0,19.93976311,0,0,0,0,5908
2008,3,5908,0,0,1,3.051558369,0,0,0,0,8699
2008,2,8699,0,1,0,2.168544771,0,0,0,0,13495
2008,1,13495,1,0,0,8.418765142,0,0,1,0,6961
2007,4,6961,0,0,0,12.56210656,0,0,0,0,957
2007,3,957,0,0,1,6.702688503,0,0,0,0,1638
2007,2,1638,0,1,0,0.715027522,0,0,0,0,5326
2007,1,5326,1,0,0,11.32828045,0,0,0,0,962
2006,4,962,0,0,0,13.18483385,0,1,0,0,288
2006,3,288,0,0,1,7.579344214,0,1,0,0,535
2006,2,535,0,1,0,5.474367723,0,1,0,0,2842
2006,1,2842,1,0,0,8.217383209,0,1,0,0,3342
2005,4,3342,0,0,0,9.553135934,0,1,0,0,895
2005,3,895,0,0,1,10.21693462,0,1,0,0,0
2005,2,0,0,1,0,17.60634345,1,0,0,0,0
2005,1,0,1,0,0,16.21900287,1,0,0,0,0
2004,4,0,0,0,0,23.53023723,1,0,0,0,0
2004,3,0,0,0,1,27.66076737,1,0,0,0,0
2004,2,0,0,1,0,26.48560281,1,0,0,0,0
2004,1,0,1,0,0,24.11788028,1,0,0,0,0
2003,4,0,0,0,0,25.97317501,1,0,0,0,0
2003,3,0,0,0,1,46.72687926,1,0,0,0,4669
2003,2,4669,0,1,0,18.39275473,0,0,0,0,7799
2003,1,7799,1,0,0,21.49830016,0,0,0,0,6245
2002,4,6245,0,0,0,27.13039102,0,0,0,0,2912
2002,3,2912,0,0,1,23.59944148,0,0,0,0,3263
2002,2,3263,0,1,0,17.93339732,0,0,0,0,4425
2002,1,4425,1,0,0,19.13561251,0,0,0,0,9024
2001,4,9024,0,0,0,24.66269305,0,0,0,0,4461
2001,3,4461,0,0,1,15.24409865,0,0,0,0,4752
2001,2,4752,0,1,0,12.65426065,0,0,0,0,7978
2001,1,7978,1,0,0,15.8401118,0,0,0,0,10464
2000,4,10464,0,0,0,16.93812647,0,0,0,0,3584
2000,3,3584,0,0,1,14.94103096,0,0,0,0,3310
2000,2,3310,0,1,0,11.43952496,0,0,0,0,2633
2000,1,2633,1,0,0,14.07426164,0,0,0,0,7827
1999,4,7827,0,0,0,19.57833366,0,0,0,0,4810
1999,3,4810,0,0,1,21.12345746,0,0,0,0,3667
1999,2,3667,0,1,0,19.45538336,0,0,0,0,5252
1999,1,5252,1,0,0,22.30757845,0,0,0,0,10060
1998,4,10060,0,0,0,33.57250123,0,0,0,0,6777
1998,3,6777,0,0,1,22.68541539,0,0,0,0,3957
1998,2,3957,0,1,0,17.89282218,0,0,0,0,4913
