Year,Quarter,Exported Fed Steers,Q1,Q2,Q3,US-Ont. Steer Price Spread ($/100 lbs.),BSE,D2000,D2007,D2008
2012,4,3297,0,0,0,-6.293754094,0,0,0,0
2012,3,2155,0,0,1,-10.59331604,0,0,0,0
2012,2,2374,0,1,0,-12.86937333,0,0,0,0
2012,1,2220,1,0,0,-14.05027834,0,0,0,0
2011,4,5839,0,0,0,-1.007217055,0,0,0,0
2011,3,3199,0,0,1,-7.690973115,0,0,0,0
2011,2,3834,0,1,0,-10.6969078,0,0,0,0
2011,1,3911,1,0,0,-5.953927525,0,0,0,0
2010,4,6483,0,0,0,3.569696319,0,0,0,0
2010,3,4472,0,0,1,1.129097447,0,0,0,0
2010,2,6853,0,1,0,0.42648765,0,0,0,0
2010,1,5722,1,0,0,8.843223779,0,0,0,0
2009,4,8975,0,0,0,15.16893736,0,0,0,0
2009,3,6354,0,0,1,11.36915131,0,0,0,0
2009,2,3380,0,1,0,9.153322643,0,0,0,0
2009,1,7663,1,0,0,14.20339405,0,0,0,0
2008,4,17332,0,0,0,18.17847694,0,0,0,1
2008,3,10870,0,0,1,1.163533908,0,0,0,1
2008,2,8407,0,1,0,1.82553818,0,0,0,1
2008,1,16392,1,0,0,8.937832045,0,0,0,1
2007,4,19072,0,0,0,11.91914714,0,0,1,0
2007,3,6240,0,0,1,4.46272873,0,0,1,0
2007,2,5011,0,1,0,-1.019131654,0,0,1,0
2007,1,10380,1,0,0,10.45230722,0,0,1,0
2006,4,5847,0,0,0,11.77533846,0,0,0,0
2006,3,709,0,0,1,5.190899821,0,0,0,0
2006,2,2008,0,1,0,3.026865383,0,0,0,0
2006,1,6966,1,0,0,6.681512945,0,0,0,0
2005,4,11412,0,0,0,7.238268813,0,0,0,0
2005,3,4970,0,0,1,7.23044145,0,0,0,0
2005,2,0,0,1,0,14.52018458,1,0,0,0
2005,1,0,1,0,0,14.76077426,1,0,0,0
2004,4,0,0,0,0,21.45574367,1,0,0,0
2004,3,0,0,0,1,24.24074772,1,0,0,0
2004,2,0,0,1,0,24.27000564,1,0,0,0
2004,1,0,1,0,0,23.00119633,1,0,0,0
2003,4,0,0,0,0,24.44048262,1,0,0,0
2003,3,0,0,0,1,45.79665313,1,0,0,0
2003,2,4182,0,1,0,17.38072401,0,0,0,0
2003,1,9114,1,0,0,21.29999762,0,0,0,0
2002,4,17142,0,0,0,26.19968689,0,0,0,0
2002,3,8108,0,0,1,22.38600021,0,0,0,0
2002,2,2899,0,1,0,16.69757545,0,0,0,0
2002,1,8207,1,0,0,18.67243599,0,0,0,0
2001,4,25924,0,0,0,23.7367828,0,1,0,0
2001,3,14131,0,0,1,14.13427988,0,1,0,0
2001,2,5576,0,1,0,11.20431752,0,1,0,0
2001,1,11162,1,0,0,15.2920906,0,1,0,0
2000,4,23888,0,0,0,16.576727,0,1,0,0
2000,3,4226,0,0,1,13.93084128,0,0,0,0
2000,2,2615,0,1,0,9.494003542,0,0,0,0
2000,1,2563,1,0,0,12.96690128,0,0,0,0
1999,4,17106,0,0,0,18.40854239,0,0,0,0
1999,3,12951,0,0,1,20.05379962,0,0,0,0
1999,2,7594,0,1,0,17.89233594,0,0,0,0
1999,1,7677,1,0,0,20.76747063,0,0,0,0
1998,4,13681,0,0,0,31.15242345,0,0,0,0
1998,3,9538,0,0,1,20.70367606,0,0,0,0
1998,2,5710,0,1,0,15.85490485,0,0,0,0
