Year,Quarter,Beef Imports from US,Q1,Q2,Q3,Ont.-US Retail Beef Price Spread ($/lbs.),Unit Value ROW Imports ($/lbs.),Ont. Diesel Price ($/ltr.),D2004Q1,D200405,Beef Imports from US (t-1)
2012,4,98838721.11,0,0,0,1.804,1.666408889,0.973,0,0,83972506.53
2012,3,83972506.53,0,0,1,1.986,1.660459923,0.976,0,0,81735583.21
2012,2,81735583.21,0,1,0,1.822,1.630953823,0.993,0,0,65791420.48
2012,1,65791420.48,1,0,0,1.691,1.71107428,0.966,0,0,79957036.13
2011,4,79957036.13,0,0,0,1.372,1.492588253,0.977,0,0,95630273.85
2011,3,95630273.85,0,0,1,1.683,1.634153261,0.975,0,0,82557039.48
2011,2,82557039.48,0,1,0,1.691,1.689928577,0.994,0,0,64359814.64
2011,1,64359814.64,1,0,0,1.499,1.563104134,0.984,0,0,74626035.08
2010,4,74626035.08,0,0,0,1.532,1.503048197,1.025,0,0,69303086.4
2010,3,69303086.4,0,0,1,1.466,1.441676733,1.067,0,0,57713403.45
2010,2,57713403.45,0,1,0,1.379,1.45420297,1.002,0,0,55728374.96
2010,1,55728374.96,1,0,0,1.58,1.322055824,0.982,0,0,58585629.85
2009,4,58585629.85,0,0,0,1.434,1.36819351,0.966,0,0,66253576.08
2009,3,66253576.08,0,0,1,1.481,1.37499432,1.011,0,0,66253576.08
2009,2,66253576.08,0,1,0,1.022,1.330383117,1.01,0,0,50526070.07
2009,1,50526070.07,1,0,0,0.543,1.392923987,1.014,0,0,57713403.45
2008,4,57713403.45,0,0,0,0.482,1.665522754,0.956,0,0,66919435.59
2008,3,66919435.59,0,0,1,0.98,1.467133599,0.873,0,0,67998758.12
2008,2,67998758.12,0,1,0,1.203,1.552281762,0.855,0,0,53757835.98
2008,1,53757835.98,1,0,0,1.171,1.422391314,0.897,0,0,66785730.47
2007,4,66785730.47,0,0,0,1.219,1.382374881,0.923,0,0,59352215.04
2007,3,59352215.04,0,0,1,0.93,1.420705509,0.947,0,0,54135460.98
2007,2,54135460.98,0,1,0,0.661,1.522746018,0.96,0,0,36652786.01
2007,1,36652786.01,1,0,0,0.384,1.502364132,0.967,0,0,47299013.64
2006,4,47299013.64,0,0,0,0.578,1.501896792,0.972,0,0,45217737.93
