Year,Quarter,Ont. Wholesale Beef Price ($/lbs.),Q1,Q2,Q3,US Wholesale Beef Price ($CDN/lbs.),Ont. Wholesale Beef Price ($/lbs.) (t-1)
2012,4,1.85,0,0,0,2.94,1.91
2012,3,1.91,0,0,1,2.85,1.85
2012,2,1.85,0,1,0,2.94,1.77
2012,1,1.77,1,0,0,2.88,1.81
2011,4,1.81,0,0,0,2.96,1.72
2011,3,1.72,0,0,1,2.7,1.73
2011,2,1.73,0,1,0,2.66,1.68
2011,1,1.68,1,0,0,2.61,1.55
2010,4,1.55,0,0,0,2.47,1.55
2010,3,1.55,0,0,1,2.5,1.69
2010,2,1.69,0,1,0,2.59,1.51
2010,1,1.51,1,0,0,2.36,1.43
2009,4,1.43,0,0,0,2.26,1.57
2009,3,1.57,0,0,1,2.38,1.78
2009,2,1.78,0,1,0,2.58,1.73
2009,1,1.73,1,0,0,2.69,1.76
2008,4,1.76,0,0,0,2.79,1.75
2008,3,1.75,0,0,1,2.59,1.64
2008,2,1.64,0,1,0,2.38,1.53
2008,1,1.53,1,0,0,2.26,1.47
2007,4,1.47,0,0,0,2.21,1.62
2007,3,1.62,0,0,1,2.33,1.85
2007,2,1.85,0,1,0,2.65,1.76
2007,1,1.76,1,0,0,2.76,1.61
2006,4,1.61,0,0,0,2.54,1.71
2006,3,1.71,0,0,1,2.55,1.7
2006,2,1.7,0,1,0,2.57,1.73
2006,1,1.73,1,0,0,2.69,1.72
2005,4,1.72,0,0,0,2.73,1.64
2005,3,1.64,0,0,1,2.51,1.78
2005,2,1.78,0,1,0,2.92,1.71
2005,1,1.71,1,0,0,2.81,1.63
2004,4,1.63,0,0,0,2.62,1.74
2004,3,1.74,0,0,1,2.78,1.85
2004,2,1.85,0,1,0,3.24,1.69
2004,1,1.69,1,0,0,2.77,1.87
2003,4,1.87,0,0,0,3.36,1.6
2003,3,1.6,0,0,1,3.05,1.93
2003,2,1.93,0,1,0,3.02,2.02
2003,1,2.02,1,0,0,3,1.9
2002,4,1.9,0,0,0,2.87,1.8
2002,3,1.8,0,0,1,2.72,1.87
2002,2,1.87,0,1,0,2.81,1.94
2002,1,1.94,1,0,0,2.93,1.86
2001,4,1.86,0,0,0,2.8,1.92
2001,3,1.92,0,0,1,2.89,2.07
2001,2,2.07,0,1,0,3.1,2.06
2001,1,2.06,1,0,0,3.09,1.89
2000,4,1.89,0,0,0,2.82,1.72
2000,3,1.72,0,0,1,2.58,1.91
2000,2,1.91,0,1,0,2.84,1.74
2000,1,1.74,1,0,0,2.59,1.81
1999,4,1.81,0,0,0,2.68,1.75
1999,3,1.75,0,0,1,2.6,1.7
1999,2,1.7,0,1,0,2.53,1.59
